"","gc.lat","gen.lat","gc.lon","gen.lon","dist","adj.lon","GC","lon","max"
"47",45.49,45.52,-71.8133333333333,-71.28,41.8136820553086,-71.28,"GC6HG7V",-71.8133333333333,36
"48",45.8425,46.059712,-61.8994444444444,-63.012986,89.6459106014379,-63.012986,"GCWB1Q",-61.8994444444444,5
"49",45.8425,46.179741,-61.8994444444444,-62.88424,84.9830396049559,-62.88424,"GCWB1Q",-61.8994444444444,5
"50",45.8425,46.060933,-61.8994444444444,-62.710862,67.4317828263116,-62.710862,"GCWB1Q",-61.8994444444444,5
"51",45.8425,46.164912,-61.8994444444444,-62.81343,79.3483786828701,-62.81343,"GCWB1Q",-61.8994444444444,5
"52",45.8425,46.014727,-61.8994444444444,-62.610955,58.4123897464912,-62.610955,"GCWB1Q",-61.8994444444444,5
"53",45.8875,45.8751,-64.4227777777778,-64.871633,34.8712827605844,-64.871633,"GC16QVH",-64.4227777777778,14
"54",45.8875,45.9369,-64.4227777777778,-64.4769,6.91240313481639,-64.4769,"GC16QVH",-64.4227777777778,14
"55",45.8875,45.8751,-64.4227777777778,-64.871633,34.8712827605844,-64.871633,"GC16QVH",-64.4227777777778,14
"56",45.8875,45.8751,-64.4227777777778,-64.871633,34.8712827605844,-64.871633,"GC16QVH",-64.4227777777778,14
"57",45.8875,45.923222,-64.4227777777778,-64.645711,17.7483721131602,-64.645711,"GC16QVH",-64.4227777777778,14
"58",45.8875,46.203033,-64.4227777777778,-63.150144,104.558068451438,-63.150144,"GC16QVH",-64.4227777777778,14
"59",45.8875,45.8751,-64.4227777777778,-64.871633,34.8712827605844,-64.871633,"GC16QVH",-64.4227777777778,14
"60",46.31,46.140093,-82.1308333333333,-81.907196,25.5804986107141,-81.907196,"GC3WF6R",-82.1308333333333,19
"61",46.3325,46.31,-76.4122222222222,-78.71,176.972005690411,-78.71,"GC4HWT8",-76.4122222222222,26
"62",46.695,47.65,-81.2413888888889,-80.77,112.023712056742,-80.77,"GC7WP2J",-81.2413888888889,3
"63",46.695,48.46,-81.2413888888889,-81.26,196.241384314235,-81.26,"GC7WP2J",-81.2413888888889,3
"64",46.9625,47.002968,-71.4280555555556,-71.194153,18.3552826066911,-71.194153,"GC2414Y",-71.4280555555556,19
"65",47.54,50.4454,-87.6733333333333,-86.0472,344.304189610244,-86.0472,"GCPERA",-87.6733333333333,4
"66",48.545,48.15,-77.6780555555556,-80.0333,180.009703382571,-80.0333,"GC5YFXF",-77.6780555555556,17
"67",48.545,48.15,-77.6780555555556,-80.0333,180.009703382571,-80.03,"GC5YFXF",-77.6780555555556,17
"68",48.545,48.16,-77.6780555555556,-80.02,178.768029166855,-80.02,"GC5YFXF",-77.6780555555556,17
"69",48.545,48.15,-77.6780555555556,-80.03,179.772531483799,-80.03,"GC5YFXF",-77.6780555555556,17
"70",48.545,48.15,-77.6780555555556,-80.03,179.772531483799,-80.0333,"GC5YFXF",-77.6780555555556,17
