GC,title,lat,lon,country,region,county,numfinds,,
 GC2657B,The Cave,N 50° 44.635,E 007° 44.741,Germany,Rheinland-Pfalz,Altenkirchen (Lkr),109,,
 GC26EAP,Cave of Love,N 50° 19.858,E 004° 17.200,Belgium,Hainaut,Thuin,53,,
 GC26H8N,Barackulina´s cave,N 49° 10.017,E 019° 09.667,Slovakia,Žilinský kraj,Ružomberok,243,,
 GC26JMY,La mine Saint Nicolas,N 47° 49.520,E 007° 08.296,France,Grand-Est,Haut-Rhin,141,,
 GC26JN0,La mine du Donnerloch,N 47° 49.430,E 007° 08.704,France,Grand-Est,Haut-Rhin,130,,
 GC26P0Y,Leogang - The Cave,N 47° 26.582,E 012° 44.486,Austria,Salzburg,Zell am See,521,,
 GC26RY8,La Mine du HOCHKOPF,N 49° 01.122,E 007° 27.398,France,Grand-Est,Moselle,101,,
 GC26V5X,Gollums Höhle,N 47° 12.212,E 015° 20.919,Austria,Steiermark,Graz-Umgebung,7,,
 GC26Z1P,Railway Cave,N 49° 43.862,E 011° 33.164,Germany,Bayern,Bayreuth (Lkr),18,,
 GC276M3,SECRET CAVE,N 48° 37.695,E 010° 07.688,Germany,Baden-Württemberg,Heidenheim (Lkr),61,,
 GC27DV7,La cave abondonnée,N 49° 27.412,E 006° 04.802,France,Grand-Est,Moselle,593,,
 GC27Q6F,Bergwerk I-Veitsch,N 47° 35.603,E 015° 29.964,Austria,Steiermark,Bruck-Mürzzuschlag,82,,
 GC27Z4P,"Skull Cachers ""Cave""",N 50° 47.034,E 007° 28.392,Germany,Nordrhein-Westfalen,Rhein-Sieg-Kreis,57,,
 GC28EQG,Höhle von Unterloiben,N 48° 23.619,E 015° 32.485,Austria,Niederösterreich,Bezirk Krems,277,,
 GC28J5J,?Höhle?Mauer?,N 48° 15.692,E 015° 14.861,Austria,Niederösterreich,Bezirk Melk,58,,
 GC292T4,Grotte der Ruhe!,N 46° 45.140,E 007° 15.240,Switzerland,Fribourg,Rechthalten (10),130,,
 GC29E3N,Only a little Cave in Iserlohn,N 51° 23.010,E 007° 43.480,Germany,Nordrhein-Westfalen,Märkischer Kreis,26,,
 GC29G63,Lourdes Grotte Mels,N 47° 03.143,E 009° 24.782,Switzerland,St. Gallen,Mels (17),617,,
 GC29HW4,Die Sunfixl-Höhle | The Sunfixl Cave,N 47° 06.574,E 015° 06.048,Austria,Steiermark,Voitsberg,108,,
 GC29HW4,Die Sunfixl-Höhle | The Sunfixl Cave,N 47° 06.574,E 015° 06.048,Austria,Steiermark,Voitsberg,108,,
 GC2A2YK,Cave Piccolo,N 36° 58.186,E 015° 05.856,Italy,Sicilia,Siracusa,9,,
 GC2A7BP,La grotte de Revogne,N 50° 05.610,E 005° 02.735,Belgium,Namur,Beauraing,375,,
 GC2A8YD,Jeskyne Barcalina / Barcalina Cave,N 50° 26.276,E 014° 36.228,Czechia,Středočeský kraj,Mělník,29,,
 GC2A9P6,Die verbotene Höhle,N 47° 55.697,E 014° 25.727,Austria,Oberösterreich,Steyr-Land,77,,
 GC2AGX3,Jaskyna Driny / Driny Cave,N 48° 30.046,E 017° 24.165,Slovakia,Trnavský kraj,Trnava,542,,
 GC2B3WX,Selim cave,N 47° 35.420,E 018° 24.415,Hungary,Komárom-Esztergom,Tatabányai járás,321,,
 GC2BCP3,Grotte de N.D. de Lourdes,N 50° 03.368,E 005° 33.067,Belgium,Luxembourg,Sainte-Ode,313,,
 GC2BG5M,Kossuth Cave,N 48° 29.252,E 020° 33.050,Hungary,Borsod-Abaúj-Zemplén,Putnoki járás,95,,
 GC2BG9F,Imre Vass Cave,N 48° 29.875,E 020° 32.208,Hungary,Borsod-Abaúj-Zemplén,Putnoki járás,58,,
 GC2BH14,Rákóczi Cave,N 48° 31.234,E 020° 44.943,Hungary,Borsod-Abaúj-Zemplén,Edelényi járás,55,,
 GC2BJ53,The Cave at Turold,N 48° 48.995,E 016° 38.411,Czechia,Jihomoravský kraj,Břeclav,2031,,
 GC2BJV0,Jama na kopci,N 48° 44.840,E 018° 28.972,Slovakia,Trenčiansky kraj,Prievidza,127,,
 GC2BPPP,Grotta del Cavallone,N 42° 02.295,E 014° 09.259,Italy,Abruzzo,Chieti,19,,
 GC2BRYG,Spas in Hungary 04 / Cave Bath,N 48° 03.647,E 020° 44.735,Hungary,Borsod-Abaúj-Zemplén,Miskolci járás,322,,
 GC2BWBY,Kokas mountain cave,N 47° 14.334,E 017° 53.234,Hungary,Veszprém,Zirci járás,119,,
 GC2BXDQ,Béke Cave,N 48° 27.647,E 020° 32.512,Hungary,Borsod-Abaúj-Zemplén,Putnoki járás,53,,
 GC2BXNG,Meteor Cave,N 48° 33.182,E 020° 42.429,Hungary,Borsod-Abaúj-Zemplén,Edelényi járás,40,,
 GC2C1HF,Cave Szabadság,N 48° 27.265,E 020° 34.310,Hungary,Borsod-Abaúj-Zemplén,Edelényi járás,38,,
 GC2CNK9,l'ancienne mine de talc d'Argentine,N 45° 29.291,E 006° 20.287,France,Auvergne-Rhône-Alpes,Savoie,6,,
 GC2CQ8J,Zatopeny dul/Flooded mine,N 50° 14.616,E 012° 52.303,Czechia,Karlovarský kraj,Karlovy Vary,805,,
 GC2CWPD,La grotte à Yosi,N 46° 52.041,E 006° 52.915,Switzerland,Fribourg,Estavayer (10),51,,
 GC2DPE1,Die Veleda-Höhle / The Veleda-cave,N 51° 20.912,E 008° 22.740,Germany,Nordrhein-Westfalen,Hochsauerlandkreis,353,,
 GC2DTEA,Diabelnie gleboka jaskinia / Devilishly deep cave,N 49° 44.979,E 020° 50.250,Poland,Małopolskie,Nowosądecki (Małopolskie),24,,
 GC2DTEA,Diabelnie gleboka jaskinia / Devilishly deep cave,N 49° 44.979,E 020° 50.250,Poland,Małopolskie,Nowosądecki (Małopolskie),24,,
 GC2DWNK,Mine de la Bouisseyre,N 44° 30.431,E 004° 11.780,France,Auvergne-Rhône-Alpes,Ardèche,64,,
 GC2DYW4, [kmg]Mine de cuivre d'Anozel,N 48° 14.312,E 006° 55.554,France,Grand-Est,Vosges,124,,
 GC2E031,Babja jama,N 46° 08.135,E 014° 38.300,Slovenia,Osrednjeslovenska,Domžale,272,,
 GC2E03D,grotte aux chats,N 47° 04.115,E 006° 45.483,Switzerland,Neuchâtel,Le Locle (24),33,,
 GC2E3M2,Smrtni jeskyne (Death cave),N 49° 22.052,E 016° 44.572,Czechia,Jihomoravský kraj,Blansko,2025,,
 GC2E7D,Cave of Turul,N 47° 35.808,E 018° 24.519,Hungary,Komárom-Esztergom,Tatabányai járás,306,,
 GC2E829,Jaskinia Mylna (Mylna Cave),N 49° 14.335,E 019° 51.663,Poland,Małopolskie,Tatrzański (Małopolskie),197,,
 GC2E829,Jaskinia Mylna (Mylna Cave),N 49° 14.335,E 019° 51.663,Poland,Małopolskie,Tatrzański (Małopolskie),197,,
 GC2EBE8,Backes-Rallye: Kersbach,N 49° 40.809,E 011° 04.325,Germany,Bayern,Forchheim (Lkr),306,,
 GC2EHWX,La Grotte de Kaschbour,N 49° 42.594,E 005° 42.128,Belgium,Luxembourg,Habay,117,,
 GC2EQVG,Alter Bahnhof,N 49° 36.631,E 011° 07.766,Germany,Bayern,Forchheim (Lkr),322,,
 GC2EYP4,The Jared Cave,N 47° 08.481,E 009° 03.173,Switzerland,St. Gallen,Schänis (17),254,,
 GC2F24R,Sontheimer Tropfsteinhöhle (limestone cave),N 48° 25.870,E 009° 41.023,Germany,Baden-Württemberg,Alb-Donau-Kreis,270,,
 GC2F51C,Salzofenhöhle / Salzofen-cave,N 47° 40.838,E 013° 56.163,Austria,Steiermark,Bezirk Liezen,34,,
 GC2FA1V,La mine d'étain,N 47° 33.685,W 001° 32.620,France,Pays de la Loire,Loire-Atlantique,110,,
 GC2FCX6,"Tavolara, la grotta delle capre.",N 40° 53.318,E 009° 41.574,Italy,Sardegna,Olbia-Tempio,99,,
 GC2FF91,The cave,N 47° 35.543,E 013° 17.527,Austria,Salzburg,Hallein,95,,
 GC2FHJR,La grotte aux cristaux / Crystal Cave,N 48° 26.605,E 002° 40.229,France,Île-de-France,Seine-et-Marne,279,,
 GC2FJ8X,Bergwerk Lohberg / Mine Lohberg,N 51° 34.946,E 006° 45.684,Germany,Nordrhein-Westfalen,Wesel (Kr),766,,
 GC2FJJ5,Grotta de Tofana,N 46° 32.106,E 012° 03.386,Italy,Veneto,Belluno,3,,
 GC2FM69,the cave #1 - Frauengrube,N 47° 56.147,E 013° 00.083,Austria,Salzburg,Salzburg-Umgebung,87,,
 GC2FM87,La cave voutée de Fosse,N 49° 17.725,E 002° 40.996,France,Hauts-de-France,Oise,151,,
 GC2FM8W,the cave #2 - Frauenloch am Gaisberg,N 47° 48.080,E 013° 07.779,Austria,Salzburg,Salzburg-Umgebung,164,,
 GC2FWB5,BILDSTOCK: Cave and Lostplace,N 49° 31.620,E 007° 15.672,Germany,Saarland,St. Wendel (Lkr),113,,
 GC2FXPZ,LP Betonwerke,N 49° 36.500,E 011° 08.036,Germany,Bayern,Forchheim (Lkr),701,,
 GC2G1GB,the cave #3 - Urspungshöhle,N 47° 46.912,E 013° 07.638,Austria,Salzburg,Salzburg-Umgebung,23,,
 GC2G4G2,Anthofgrotte Cave,N 47° 55.974,E 015° 28.346,Austria,Niederösterreich,Bezirk Lilienfeld,35,,
 GC2GCDW,Les Golutches - Les puits de mine,N 47° 33.446,E 006° 48.113,France,Bourgogne-Franche-Comté,Doubs,55,,
 GC2GE6W,Gorges Cave,N 46° 26.794,E 006° 56.614,Switzerland,Vaud,Montreux (22),52,,
 GC2GG9K,[HALLOWEEN] La grotte de Post,N 49° 45.154,E 005° 46.117,Belgium,Luxembourg,Attert,23,,
 GC2GHYZ,Kutna Hora - Medieval silver mine,N 49° 56.862,E 015° 15.923,Czechia,Středočeský kraj,Kutná Hora,1954,,
 GC2H16B,on the way to the mine,N 49° 30.084,E 006° 00.358,Luxembourg,Canton Esch-sur-Alzette,Schifflange,328,,
 GC2HAYX,The Heartbeat of Changchun,N 43° 50.601,E 125° 12.807,China,Jilin, ,21,,
 GC2HB4E,1 La tourniquette des Zinzins : La cave,N 43° 54.893,E 004° 30.658,France,Occitanie,Gard,67,,
 GC2HM3Y,Ladová jama,N 48° 15.396,E 017° 15.825,Slovakia,Bratislavský kraj,Pezinok,40,,
 GC2HX3G,Le Pont de la Mine,N 49° 18.077,E 006° 04.429,France,Grand-Est,Moselle,148,,
 GC2J8JC,the cave #4 - Lettenloch - Luegloch,N 47° 39.637,E 013° 13.198,Austria,Salzburg,Hallein,36,,
 GC2J8MM,mine car heßler,N 51° 31.264,E 007° 03.463,Germany,Nordrhein-Westfalen,Gelsenkirchen,181,,
 GC2JHE3,The biggest thermal water cave in the world,N 47° 31.080,E 019° 02.168,Hungary,Budapest,Budapest,962,,
 GC2JJ42,un arbre avec une bien sale mine !!!!,N 47° 38.253,E 001° 51.822,France,Centre-Val-de-Loire,Loir-et-Cher,114,,
 GC2JMJP,Mini-Höhle,N 48° 50.582,E 015° 08.323,Austria,Niederösterreich,Bezirk Gmünd,230,,
 GC2K485,Die Balver Höhle - The Cave Balver,N 51° 20.365,E 007° 52.295,Germany,Nordrhein-Westfalen,Märkischer Kreis,435,,
 GC2KB54,Grotte N-D de Lourdes Battincourt,N 49° 34.807,E 005° 45.834,Belgium,Luxembourg,Aubange,380,,
 GC2KMW3,Grotta di San Zanobi,N 43° 43.209,E 011° 10.150,Italy,Toscana,Firenze,40,,
 GC2MB81,La mine d’or de Rouez,N 48° 08.178,W 000° 05.475,France,Pays de la Loire,Sarthe,47,,
 GC2ME0C,Cave canem! I,N 53° 43.308,E 009° 56.211,Germany,Schleswig-Holstein,Pinneberg (Kr),589,,
 GC2MQA1,La mine,N 45° 32.752,E 004° 51.128,France,Auvergne-Rhône-Alpes,Isère,40,,
 GC2MTZD,Dr.cave,N 45° 46.729,E 013° 47.114,Slovenia,Obalno-kraška,Sežana,108,,
 GC2MWEB,sad Cave,N 45° 44.362,E 013° 48.024,Slovenia,Obalno-kraška,Sežana,37,,
 GC2N75V,L'ancienne mine de Saint-Maime,N 43° 54.138,E 005° 48.303,France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,16,,
 GC2NMTK,Zpivajici jeskyne (The Singing cave),N 49° 59.797,E 013° 10.031,Czechia,Plzeňský kraj,Plzeň-sever,340,,
 GC2NP44,Horseshoe Cave,N 45° 34.961,E 011° 28.206,Italy,Veneto,Vicenza,26,,
 GC2P17B,Cave Canem! II,N 53° 43.223,E 009° 56.125,Germany,Schleswig-Holstein,Pinneberg (Kr),626,,
 GC2P17K,Cave Canem! III,N 53° 43.211,E 009° 55.905,Germany,Schleswig-Holstein,Pinneberg (Kr),747,,
 GC2PMX3,Dourbes : La grotte ,N 50° 04.866,E 004° 34.338,Belgium,Namur,Viroinval,199,,
 GC2PV1K,Le Ronc rouge #1 : L'ancien puits de mine,N 44° 17.216,E 004° 05.011,France,Occitanie,Gard,83,,
 GC2Q12C,Neolithikum/Stone Age Cave,N 49° 08.748,E 011° 46.678,Germany,Bayern,Neumarkt in der Oberpfalz (Lkr),82,,
 GC2QH57,Quicksilver - The dead mine,N 42° 52.942,E 011° 39.921,Italy,Toscana,Siena,68,,
 GC2QKQV,Zupanova jama/Mayor's cave,N 45° 54.764,E 014° 38.326,Slovenia,Osrednjeslovenska,Grosuplje,156,,
 GC2QKQV,Zupanova jama/Mayor's cave,N 45° 54.764,E 014° 38.326,Slovenia,Osrednjeslovenska,Grosuplje,156,,
 GC2QNBB,L'ancienne mine de Mas Nau,N 44° 04.921,E 003° 08.045,France,Occitanie,Aveyron,31,,
 GC2QQJW,Stribrny dul/Silver mine,N 49° 18.111,E 015° 04.783,Czechia,Kraj Vysočina,Pelhřimov,203,,
 GC2QWZN,Borzas mountain cave,N 47° 11.085,E 017° 50.019,Hungary,Veszprém,Veszprémi járás,117,,
 GC2R0DF,The Heart beats or Time to relax,N 43° 53.137,E 125° 18.505,China,Jilin, ,64,,
 GC2R57K,Silver Cave,N 47° 38.519,E 007° 41.696,Germany,Baden-Württemberg,Lörrach (Lkr),61,,
 GC2R6N7,Zur Fledermaus Höhle,N 48° 09.631,E 013° 03.827,Austria,Oberösterreich,Braunau am Inn,3,,
 GC2RHHH,Visonta Nyugati Bánya,N 47° 46.517,E 020° 00.809,Hungary,Heves,Gyöngyösi járás,85,,
 GC2RHNJ,the cave #5 - Gutortenbrandhöhle,N 47° 39.667,E 013° 12.569,Austria,Salzburg,Hallein,29,,
 GC2T0JK,La grotta della calcara,N 45° 37.374,E 011° 26.249,Italy,Veneto,Vicenza,41,,
 GC2T413,Hoehlenmalerei - Cave painting,N 48° 18.540,E 016° 16.490,Austria,Niederösterreich,Bezirk Tulln,79,,
 GC2TAMR,LA GROTTE,N 50° 35.896,E 005° 41.934,Belgium,Liège,Olne,148,,
 GC2TC19,Grave (Cave Cache),N 48° 02.612,E 014° 19.797,Austria,Oberösterreich,Steyr-Land,272,,
 GC2TYRY,La cave des Templiers,N 48° 08.907,E 002° 41.939,France,Île-de-France,Seine-et-Marne,53,,
 GC2TZZ1,Les Avants-la grotte,N 46° 27.190,E 006° 56.955,Switzerland,Vaud,Montreux (22),58,,
 GC2V1ZW,In der Klamm 2 - In der Höhle,N 47° 34.280,E 012° 30.233,Austria,Tirol,Kitzbühel,446,,
 GC2VR3R,Jama na mamuta,N 49° 11.000,E 018° 36.000,Slovakia,Žilinský kraj,Bytča,10,,
 GC2VTQJ,[Event GEO LOCO] Pont miné,N 48° 28.997,E 007° 42.044,France,Grand-Est,Bas-Rhin,91,,
 GC2W06C,ERW04 - Höhle / Cave,N 47° 39.107,E 015° 51.951,Austria,Niederösterreich,Bezirk Neunkirchen,236,,
 GC2W06C,ERW04 - Höhle / Cave,N 47° 39.107,E 015° 51.951,Austria,Niederösterreich,Bezirk Neunkirchen,236,,
 GC2W50J,Martin's cave,N 46° 38.893,E 014° 17.807,Austria,Kärnten,Klagenfurt am Wörthersee,119,,
 GC2WP2Q,La cave aux fées,N 49° 02.148,E 001° 48.868,France,Île-de-France,Yvelines,157,,
 GC2WPQG,The high cave of Karlgraben,N 47° 41.797,E 015° 35.059,Austria,Steiermark,Bruck-Mürzzuschlag,28,,
 GC2WRXG,Grotta del vento,N 44° 02.042,E 010° 21.455,Italy,Toscana,Lucca,148,,
 GC2X1W4,Cave di Caolino,N 38° 29.801,E 014° 54.659,Italy,Sicilia,Messina,99,,
 GC2XPH5,"secret place of hell ""großhöhle""",N 47° 49.679,E 013° 37.392,Austria,Oberösterreich,Gmunden,29,,
 GC2XYT6,Grotte de Lourdes,N 50° 33.448,E 005° 21.699,Belgium,Liège,Engis,30,,
 GC2Y956,MBC Cave Bunker,N 50° 23.429,E 007° 37.548,Germany,Rheinland-Pfalz,Mayen-Koblenz (Lkr),55,,
 GC2YM9E,Glasenbachklamm - Kleine Höhle,N 47° 46.070,E 013° 05.826,Austria,Salzburg,Salzburg-Umgebung,210,,
 GC2YPR2,[ECL 2011] Le bois de la mine,N 46° 26.736,W 001° 41.405,France,Pays de la Loire,Vendée,451,,
 GC2YPR7,[ECL 2011] Entre mine et golf,N 46° 26.769,W 001° 41.529,France,Pays de la Loire,Vendée,66,,
 GC2YQN3,[ECL 2011] La mine de Richard Coeur de Lion,N 46° 26.737,W 001° 41.707,France,Pays de la Loire,Vendée,245,,
 GC2YWP7,Cave Canem,N 48° 53.655,E 013° 38.551,Germany,Bayern,Freyung-Grafenau (Lkr),139,,
 GC2Z5T2,Trhlovca (Triglovca) cave,N 45° 40.335,E 013° 56.784,Slovenia,Obalno-kraška,Sežana,301,,
 GC2ZAKP,Grotte Notre-Dame de Lourdes,N 50° 30.118,E 003° 59.567,Belgium,Hainaut,Mons,430,,
 GC2ZCYR,Wolf-hole cave,N 47° 57.632,E 019° 46.396,Hungary,Nógrád,Bátonyterenyei járás,22,,
 GC30CW5,Grotte et ancienne cave à fromage de Matharel,N 43° 57.475,E 003° 02.460,France,Occitanie,Aveyron,19,,
 GC30GJC,Vilenica Cave,N 45° 40.477,E 013° 54.694,Slovenia,Obalno-kraška,Sežana,122,,
 GC30WPG,La mine de plomb argentifère de La Plagne,N 45° 30.657,E 006° 40.663,France,Auvergne-Rhône-Alpes,Savoie,205,,
 GC31DGN,little cave,N 51° 31.115,E 004° 28.237,Netherlands,Noord-Brabant,Roosendaal,125,,
 GC31DNA,La grotte du coléoptère,N 50° 22.344,E 005° 32.243,Belgium,Luxembourg,Durbuy,288,,
 GC31H8V,Budapest 2011 - Cave HUNt,N 47° 32.047,E 019° 01.353,Hungary,Budapest,Budapest,30,,
 GC31KTP,St. John's Cave / Grotte di San Giovanni,N 39° 20.220,E 008° 37.660,Italy,Sardegna,Carbonia-Iglesias,92,,
 GC31ND5,MD2: LE PUIT DE MINE,N 50° 38.370,E 005° 41.791,Belgium,Liège,Fléron,174,,
 GC326K1,The Cave,N 47° 29.813,E 014° 33.125,Austria,Steiermark,Bezirk Liezen,54,,
 GC32KJQ,Mick 02 - Le terril de Blegny-Mine,N 50° 41.326,E 005° 43.270,Belgium,Liège,Blegny,263,,
 GC32TRD,ODK 06 Jama,N 48° 11.840,E 016° 59.847,Slovakia,Bratislavský kraj,Bratislava IV,541,,
 GC32W5F,La Grotta di Sant'Angelo,N 39° 42.276,E 016° 02.296,Italy,Calabria,Cosenza,9,,
 GC33AEJ,Jazvinska jaskyna/cave,N 48° 30.563,E 018° 32.670,Slovakia,Banskobystrický kraj,Žarnovica,76,,
 GC33H8K,2#Découverte de...Listrac-Médoc~Cave et Château,N 45° 04.466,W 000° 47.581,France,Nouvelle-Aquitaine,Gironde,62,,
 GC340EW,Dragon Cave,N 47° 25.180,E 009° 16.904,Switzerland,St. Gallen,Gossau (SG) (17),241,,
 GC3414,Odvaskõ Cave,N 47° 17.336,E 017° 42.971,Hungary,Veszprém,Pápai járás,305,,
 GC342FF,[JM #3] Le Cave di Tor Marancia,N 41° 51.110,E 012° 30.638,Italy,Lazio,Roma,25,,
 GC3434A,Bat Cave,N 39° 17.732,E 009° 26.134,Italy,Sardegna,Cagliari,2,,
 GC3466P,Grotte Vilters,N 47° 01.194,E 009° 27.795,Switzerland,St. Gallen,Vilters-Wangs (17),133,,
 GC34A6N,La grotte de hohière,N 50° 21.467,E 005° 33.967,Belgium,Luxembourg,Durbuy,82,,
 GC34ADM,Nameless in Changchun ,N 43° 53.017,E 125° 18.082,China,Jilin, ,25,,
 GC34DD0,Krizna Jama,N 45° 44.715,E 014° 28.048,Slovenia,Littoral–Inner Carniola Region,Cerknica,226,,
 GC34YR4,Lost Places - Castle & Cave,N 46° 43.911,E 014° 32.009,Austria,Kärnten,Völkermarkt,4,,
 GC35212,Grotta dello Smeraldo,N 40° 36.888,E 014° 34.010,Italy,Campania,Salerno,233,,
 GC353WE,On the Bridge!,N 51° 12.952,E 011° 47.643,Germany,Sachsen-Anhalt,Burgenlandkreis,37,,
 GC359D5,Chemin de la mine,N 49° 06.401,W 000° 23.340,France,Normandie,Calvados,75,,
 GC35GPT,Mine D'Or,N 46° 11.749,E 002° 28.139,France,Nouvelle-Aquitaine,Creuse,28,,
 GC35Q50,Turska jama/Turkish cave,N 46° 25.853,E 014° 06.282,Slovenia,Upper Carniola Statistical Region,Jesenice,17,,
 GC35Q50,Turska jama/Turkish cave,N 46° 25.853,E 014° 06.282,Slovenia,Upper Carniola Statistical Region,Jesenice,17,,
 GC35RJX,Grotte de grobois,N 50° 24.026,E 006° 05.213,Belgium,Liège,Waimes,316,,
 GC35Y7Q,FOXI CAVE,N 48° 07.056,E 016° 14.230,Austria,Niederösterreich,Bezirk Mödling,127,,
 GC36AVG,Grotta all'onda,N 43° 58.522,E 010° 20.536,Italy,Toscana,Lucca,30,,
 GC36CD0,La grotte du blaireau,N 50° 24.013,E 005° 32.291,Belgium,Liège,Ferrières,74,,
 GC36K8X,Jama Zijalka / Zijalka Cave,N 46° 22.925,E 014° 12.850,Slovenia,Upper Carniola Statistical Region,Radovljica,116,,
 GC36K8X,Jama Zijalka / Zijalka Cave,N 46° 22.925,E 014° 12.850,Slovenia,Upper Carniola Statistical Region,Radovljica,116,,
 GC36R6G,Jaskyna&bifurkacia / Cave&Bifurcation on Branisko,N 49° 01.280,E 020° 51.380,Slovakia,Prešovský kraj,Levoča,115,,
 GC36YT6,Turska jama II. / Turkish Cave II.,N 46° 24.649,E 014° 08.882,Slovenia,Upper Carniola Statistical Region,Žirovnica,65,,
 GC36YT6,Turska jama II. / Turkish Cave II.,N 46° 24.649,E 014° 08.882,Slovenia,Upper Carniola Statistical Region,Žirovnica,65,,
 GC379Y0,Snezna jama,N 46° 24.914,E 014° 03.376,Slovenia,Upper Carniola Statistical Region,Gorje,29,,
 GC37B3T,Flint Mountain Cave,N 47° 08.259,E 017° 41.969,Hungary,Veszprém,Veszprémi járás,44,,
 GC37FXZ,Grotta La Palombara ,N 40° 00.317,E 018° 25.863,Italy,Puglia,Lecce,37,,
 GC37G4T,Tanzstunde,N 50° 57.405,E 013° 56.156,Germany,Sachsen,Sächsische Schweiz-Osterzgebirge (Lkr),35,,
 GC37PGC,Grotta del Leone,N 43° 44.239,E 010° 28.415,Italy,Toscana,Pisa,148,,
 GC37XYA,Dul Engerth / Engerth mine,N 50° 09.116,E 014° 05.348,Czechia,Středočeský kraj,Kladno,164,,
 GC383P1,Der Stromkasten,N 50° 59.358,E 013° 49.753,Germany,Sachsen,Dresden,231,,
 GC383QG,Dans la grotte,N 50° 33.992,E 005° 46.909,Belgium,Liège,Pepinster,408,,
 GC386QK,Inside the Cave,N 49° 18.761,E 007° 31.442,Germany,Rheinland-Pfalz,Südwestpfalz (Lkr),3,,
 GC38DAW,Dragon-Cave,N 50° 25.260,E 007° 58.951,Germany,Hessen,Limburg-Weilburg (Lkr),145,,
 GC38DCC,Grotte de Troubat / Troubat cave,N 42° 58.557,E 000° 35.042,France,Occitanie,Hautes-Pyrénées,41,,
 GC38G0B,Lourdes-Grotte ,N 47° 31.933,E 007° 59.126,Switzerland,Aargau,Eiken (19),230,,
 GC38QKQ,Höhle der Römer,N 46° 50.276,E 013° 21.958,Austria,Kärnten,Spittal an der Drau,126,,
 GC397A2,La mine de cuivre de Cap Garonne,N 43° 04.888,E 006° 02.124,France,Provence-Alpes-Côte d'Azur,Var,89,,
 GC3993,Hideout Cave,N 50° 54.633,E 014° 16.827,Germany,Sachsen,Sächsische Schweiz-Osterzgebirge (Lkr),134,,
 GC39BAT,la miniera d'argento (the silver mine),N 45° 52.723,E 008° 49.365,Italy,Lombardia,Varese,29,,
 GC3ACTF,Divaška jama / Divaca Cave,N 45° 40.513,E 013° 57.035,Slovenia,Obalno-kraška,Divača,188,,
 GC3ACTF,Divaška jama / Divaca Cave,N 45° 40.513,E 013° 57.035,Slovenia,Obalno-kraška,Divača,188,,
 GC3ARPC,Županova jama / Mayor's cave,N 45° 54.765,E 014° 38.359,Slovenia,Osrednjeslovenska,Grosuplje,91,,
 GC3ARPC,Županova jama / Mayor's cave,N 45° 54.765,E 014° 38.359,Slovenia,Osrednjeslovenska,Grosuplje,91,,
 GC3B0FG,Grotte de Chaumont,N 50° 13.879,E 004° 36.687,Belgium,Namur,Florennes,170,,
 GC3BFH2,Jeskyne krale Saula / King Saul's cave,N 49° 58.341,E 016° 20.407,Czechia,Pardubický kraj,Ústí nad Orlicí,25,,
 GC3BGXY,Matjaževa jama / Matjaž cave,N 46° 08.202,E 014° 27.159,Slovenia,Osrednjeslovenska,Medvode,118,,
 GC3BGXY,Matjaževa jama / Matjaž cave,N 46° 08.202,E 014° 27.159,Slovenia,Osrednjeslovenska,Medvode,118,,
 GC3BGY8,"Cave of the Monk, Moldava nad Bodvou",N 48° 36.838,E 020° 59.456,Slovakia,Košický kraj,Košice - okolie,119,,
 GC3BM09,Huda luknja / Cave Huda luknja,N 46° 24.850,E 015° 10.469,Slovenia,Koroška,Mislinja,152,,
 GC3BPHH,War Cave,N 45° 27.305,E 011° 34.690,Italy,Veneto,Vicenza,41,,
 GC3C29Z,Beskid Mały - Jaskinia Czarne Działy,N 49° 44.858,E 019° 21.661,Poland,Śląskie,żywiecki (Śląskie),50,,
 GC3C384,The Treasurer of Pu Yi in Changchun Fu,N 43° 52.000,E 125° 17.000,China,Jilin, ,21,,
 GC3C3A5,Bird Nest,N 43° 52.514,E 125° 18.062,China,Jilin, ,26,,
 GC3D141,cave 022012,N 48° 04.587,E 009° 17.662,Germany,Baden-Württemberg,Sigmaringen (Lkr),47,,
 GC3D6DZ,Enrico VIII Cave,N 45° 29.327,E 011° 31.336,Italy,Veneto,Vicenza,89,,
 GC3DPA1,Jama Pekel - Parkirisce,N 46° 17.170,E 015° 07.877,Slovenia,Savinja Statistical Region,Žalec,228,,
 GC3DQAY,La mine de plomb-argent,N 44° 27.695,E 004° 00.725,France,Auvergne-Rhône-Alpes,Ardèche,11,,
 GC3DTHC,Jaskinia - Zimna Dziura,N 51° 06.346,E 015° 37.531,Poland,Dolnośląskie,Lwówecki (Dolnośląskie),54,,
 GC3E96Z,Jack Daniels Cave,N 49° 07.195,E 007° 33.349,Germany,Rheinland-Pfalz,Südwestpfalz (Lkr),22,,
 GC3EAZN,The Dragon Cave: Cavallasca 1,N 45° 49.170,E 009° 02.093,Italy,Lombardia,Como,127,,
 GC3EJPE,Grotte de la porte Aïve ,N 50° 16.150,E 005° 28.450,Belgium,Luxembourg,Hotton,256,,
 GC3F91K,Dans la grotte n°2,N 50° 34.004,E 005° 46.928,Belgium,Liège,Pepinster,314,,
 GC3F95B,1000er in der Höhle - Kein Aprilscherz!,N 48° 03.180,E 016° 04.660,Austria,Niederösterreich,Bezirk Baden,23,,
