GC	title	lat	lon	country	province/state	numfinds
GC80YT8	Sur le chemin de la cave aux loups - 4	N 46° 40.893	E 000° 58.358	France	Centre-Val-de-Loire	4
GC80YTH	Sur le chemin de la cave aux loups - 5	N 46° 40.988	E 000° 58.297	France	Centre-Val-de-Loire	4
GC80YTQ	Sur le chemin de la cave aux loups - 6	N 46° 41.070	E 000° 58.219	France	Centre-Val-de-Loire	4
GC80YTZ	La cave aux loups	N 46° 41.108	E 000° 58.066	France	Centre-Val-de-Loire	4
GC8272M	Hagener Geocaching Stammtisch - Cave 66 [4]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	12
GC83H87	Hagener Geocaching Stammtisch - Cave 66 [5]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	17
GC83V9P	Creation Celebration @HGS* - Cave 66 [6]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	27
GC84FA5	Cave coopérative de Gallargues le montueux	N 43° 42.884	E 004° 10.243	France	Occitanie	8
GC84RAG	The Mamilch Cave	N 46° 29.129	E 007° 40.275	Switzerland	Bern	13
GC84Y61	Hagener Geocaching Stammtisch - Cave 66 [7]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	13
GC84YD6	La Cave de St Hilaire	N 44° 05.610	E 004° 07.490	France	Occitanie	10
GC8578Z	Ostravska jeskyne / Cave in Ostrava	N 49° 49.735	E 018° 18.250	Czechia	Moravskoslezský kraj	141
GC86EA	The cave of Letras	N 48° 06.043	E 020° 34.817	Hungary	Borsod-Abaúj-Zemplén	15
GC87BMC	La cave de St Esteve	N 43° 30.377	E 005° 55.683	France	Provence-Alpes-Côte d'Azur	0
GC87EB8	La Cave de St Estève	N 43° 30.274	E 005° 55.683	France	Provence-Alpes-Côte d'Azur	6
GC882TJ	Hagener Geocaching Stammtisch - Cave 66 [8]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	9
GC882TK	Hagener Geocaching Stammtisch - Cave 66 [9]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	16
GC884EA	Hagener Geocaching Stammtisch - Cave 66 [10]	N 51° 21.200	E 007° 28.730	Germany	Nordrhein-Westfalen	14
GC88761	Cave coopérative des Arcs	N 43° 26.854	E 006° 28.571	France	Provence-Alpes-Côte d'Azur	4
GC8AE7J	la cave coopérative	N 43° 25.528	E 002° 56.780	France	Occitanie	4
GCD481	Lava cave	N 48° 06.261	E 019° 58.308	Hungary	Nógrád	42
GCGAWQ	Fohlenhaus (small cave)	N 48° 31.086	E 010° 03.076	Germany	Baden-Württemberg	351
GCGC98	Cave Lodge	N 49° 01.420	E 008° 33.730	Germany	Baden-Württemberg	145
GCGDY3	Cave of Dorneck	N 47° 28.791	E 007° 37.676	Switzerland	Solothurn	110
GCGF35	Baradla cave in Aggtelek	N 48° 28.550	E 020° 30.085	Hungary	Borsod-Abaúj-Zemplén	398
GCGF39	The cave of Vecsembükk	N 48° 34.012	E 020° 43.600	Hungary	Borsod-Abaúj-Zemplén	2
GCGM1G	The Pirates Cave	N 50° 09.710	E 007° 54.930	Germany	Hessen	51
GCHF86	Uncle Bear's Cave	N 47° 37.957	E 018° 58.287	Hungary	Pest megye	184
GCHPGZ	Auntie Spring is sad (Cat-cave)	N 47° 38.613	E 018° 56.645	Hungary	Pest megye	111
GCJ26Z	Pálvölgyi and Mátyáshegyi Cave	N 47° 32.027	E 019° 00.992	Hungary	Budapest	174
GCJQ7E	Baarburg-Cave	N 47° 12.360	E 008° 33.165	Switzerland	Zug	14
GCKQ84	Murphys Cave	N 47° 52.158	E 009° 00.546	Germany	Baden-Württemberg	321
GCM7WE	BATMANS CAVE	N 47° 43.835	E 008° 52.315	Germany	Baden-Württemberg	59
GCMN1K	KRYOS CAVE	N 48° 04.284	E 008° 25.057	Germany	Baden-Württemberg	41
GCMQPB	Ördöglyuk / Devil's Hole Cave	N 47° 35.438	E 018° 54.339	Hungary	Pest megye	208
GCN6AA	Cave Lodge Reloaded	N 49° 01.080	E 008° 34.230	Germany	Baden-Württemberg	24
GCQ9KZ	Fairy cave	N 47° 42.583	E 018° 49.599	Hungary	Komárom-Esztergom	77
GCQCG6	Cave of Táborhegy (GCKBrl)	N 47° 33.008	E 019° 00.705	Hungary	Budapest	329
GCRTDY	IMC No. 3 S-DE - Where is the cave gone?	N 51° 14.299	E 007° 33.404	Germany	Nordrhein-Westfalen	48
GCRTEG	La grotte de Las Manes - Las Manes cave	N 44° 00.077	W 000° 24.604	France	Nouvelle-Aquitaine	16
GCRZH1	Der Schlupflochfelsen im Ailsbachtal	N 49° 48.986	E 011° 21.860	Germany	Bayern	562
GCV3ZE	The Lóczy Cave	N 46° 58.135	E 017° 52.450	Hungary	Veszprém	928
GCVQAA	"Ajka-Csingervalley -  ""Macskalik"" cave"	N 47° 03.979	E 017° 37.696	Hungary	Veszprém	69
GCW986	Cave of Csakvar - Tracking the primal horse	N 47° 22.638	E 018° 26.430	Hungary	Fejér	284
GCWE9V	BALCARKA / BALCARKA CAVE	N 49° 22.564	E 016° 45.479	Czechia	Jihomoravský kraj	3395
GCWM3P	Djungle Cave	N 49° 02.785	E 008° 33.811	Germany	Baden-Württemberg	19
GCXF5X	Squeaks Cave	N 45° 21.517	E 000° 31.202	France	Nouvelle-Aquitaine	38
GCXJ4A	Josephs stone (Aragonit cave)	N 49° 31.888	E 017° 44.695	Czechia	Olomoucký kraj	441
GCY928	Dripstone Cave at Abaliget (GCABAL)	N 46° 08.082	E 018° 06.977	Hungary	Baranya	218
GC28C0	Schaad's Pirate Cave	N 46° 44.073	E 007° 20.825	Switzerland	Bern	182
GC2E7D	Cave of Turul	N 47° 35.808	E 018° 24.519	Hungary	Komárom-Esztergom	273
GC2GY8H	Marble Cave (Mramornoe)	N 44° 47.463	E 034° 16.954	Ukraine	Autonomous Republic of Crimea	32
GC3993	Hideout Cave	N 50° 54.633	E 014° 16.827	Germany	Sachsen	134
GC5799	Close to the Dryads cave	N 48° 25.767	E 002° 39.240	France	Île-de-France	343
GCV3GW	CCC - Coprophagus' Cave Czernice geocache	N 49° 41.742	E 013° 24.586	Czechia	Plzeňský kraj	158
