GC	title	lat	lon	country	province/state	numfinds
GC3D141	cave 022012	N 48° 04.587	E 009° 17.662	Germany	Baden-Württemberg	47
GC3E96Z	Jack Daniels Cave	N 49° 07.195	E 007° 33.349	Germany	Rheinland-Pfalz	21
GC3KQ3B	Cave Du Vin	N 43° 06.701	E 002° 50.125	France	Occitanie	73
GC3M4ZC	Boîte de nuit: la Cave de la Fête Triste	N 48° 47.199	E 007° 40.938	France	Grand-Est	44
GC3MP25	Sudslavicka sluj/Sudslavice Cave	N 49° 05.467	E 013° 47.733	Czechia	Jihočeský kraj	68
GC3MZ4G	Lost-Cave	N 51° 30.898	E 009° 50.119	Germany	Niedersachsen	75
GC3PKER	La cave du père GERARDIN	N 48° 40.448	E 005° 55.518	France	Grand-Est	234
GC3QR8T	Budapest 2012 - Cave Hunting	N 47° 32.047	E 019° 01.353	Hungary	Budapest	46
GC3T2N7	La cave de Laudun	N 44° 06.246	E 004° 39.826	France	Occitanie	33
GC3VTTW	bat cave	N 52° 10.937	E 008° 08.400	Germany	Niedersachsen	230
GC3XVDW	Cave Canem	N 50° 15.130	E 007° 19.100	Germany	Rheinland-Pfalz	100
GC40AEP	Cave de Rocheval	N 46° 27.138	E 006° 19.456	Switzerland	Vaud	223
GC40YKT	AGT 26: Jeskyne Sipka / Sipka cave	N 49° 35.271	E 018° 07.194	Czechia	Moravskoslezský kraj	1886
GC43GPK	Cave des Coyes [EdM]	N 48° 35.443	E 001° 35.060	France	Centre-Val-de-Loire	131
GC43V5B	Cave à Vin	N 48° 16.123	E 002° 44.254	France	Île-de-France	66
GC43VF0	The Cave, Part Deux	N 48° 51.811	E 002° 14.468	France	Île-de-France	238
GC45T49	Jeskyne Postojna/Postojna Cave	N 50° 35.933	E 015° 12.521	Czechia	Liberecký kraj	540
GC46QXX	HANDS 07: Booming Bad Bat Cave	N 48° 48.238	E 007° 43.685	France	Grand-Est	36
GC48X6V	La cave du château	N 47° 00.380	E 000° 19.820	France	Centre-Val-de-Loire	142
GC4B49B	Batman´s Cave	N 50° 59.199	E 007° 28.690	Germany	Nordrhein-Westfalen	43
GC4B71W	Le tour du pic saint loup #27Bis La Cave Gennevaux	N 43° 46.465	E 003° 49.573	France	Occitanie	131
GC4FFVX	The Cave	N 48° 45.771	E 009° 11.163	Germany	Baden-Württemberg	127
GC4FVFB	cave canem	N 52° 15.057	E 009° 31.999	Germany	Niedersachsen	221
GC4FVRK	The Cave II	N 48° 45.477	E 009° 10.887	Germany	Baden-Württemberg	207
GC4G550	The Cave III	N 48° 45.905	E 009° 11.714	Germany	Baden-Württemberg	93
GC4HXRR	LA CAVE DE NANKUA	N 46° 52.228	E 005° 47.283	France	Bourgogne-Franche-Comté	23
GC4J919	La Cave de Vaux	N 47° 12.788	E 001° 26.631	France	Centre-Val-de-Loire	77
GC4K7BK	ZRR8 - Stephen's Spring Cave	N 49° 57.595	E 007° 01.341	Germany	Rheinland-Pfalz	403
GC4KV9W	Quasimodos Cave	N 51° 43.673	E 009° 52.861	Germany	Niedersachsen	77
GC4KVFP	La cave Gallo Romaine de Taverny	N 49° 01.374	E 002° 12.589	France	Île-de-France	115
GC4QWET	GROTTE UZEL CAVE	N 43° 28.425	E 006° 53.667	France	Provence-Alpes-Côte d'Azur	41
GC4RM3H	La Cave	N 47° 24.018	E 007° 18.840	Switzerland	Jura	62
GC4VF3N	Der Piepmatz	N 50° 51.849	E 006° 08.714	Germany	Nordrhein-Westfalen	792
GC4W1C8	Zirkels Cave	N 46° 51.282	E 007° 16.724	Switzerland	Fribourg	74
GC4WCFH	Dénezé - La Cave aux Sculptures	N 47° 14.810	W 000° 16.598	France	Pays de la Loire	111
GC4WKHA	La cave d'Espinassous	N 44° 05.827	E 003° 23.797	France	Occitanie	1
GC4X261	Mramorova jeskyne Lazurka / Marble cave Lazurka	N 49° 54.865	E 012° 46.765	Czechia	Plzeňský kraj	218
GC4X5P7	Marie va à la cave	N 45° 49.817	E 004° 48.505	France	Auvergne-Rhône-Alpes	54
GC4Y16Y	La grotte de l'étoile - Star cave	N 49° 55.363	E 004° 31.210	France	Grand-Est	271
GC4Y3NP	Sur le Chemin de la Navarre - 06 La Cave	N 43° 11.732	E 006° 06.203	France	Provence-Alpes-Côte d'Azur	40
GC4ZJBA	OCHOZSKA JESKYNE - Ochozska Cave 	N 49° 14.675	E 016° 44.990	Czechia	Jihomoravský kraj	582
GC50KCJ	LA CAVE	N 47° 22.149	W 002° 11.809	France	Pays de la Loire	38
GC52WN3	CE3# La cave aux loups	N 47° 20.673	E 004° 50.998	France	Bourgogne-Franche-Comté	21
GC53WK7	Cave Ste Geneviève	N 48° 26.996	E 002° 46.212	France	Île-de-France	135
GC54CCW	ALOTRA Cave (La Grotte ALOTRA)	N 43° 13.220	E 005° 27.170	France	Provence-Alpes-Côte d'Azur	22
GC54KKZ	Luc-sur-orbieu4#La cave	N 43° 10.636	E 002° 46.923	France	Occitanie	92
GC551C5	Cave Wood im Totholz	N 52° 44.715	E 013° 17.576	Germany	Brandenburg	169
GC55KD0	D34 : Alphabet Héraultais : C comme... Cave	N 43° 42.328	E 003° 54.039	France	Occitanie	84
GC55RBA	PLM Sommières-Nîmes # Feu la cave	N 43° 46.413	E 004° 09.615	France	Occitanie	86
GC5657A	Grotte de la Grande Cave	N 47° 00.934	E 006° 37.142	France	Bourgogne-Franche-Comté	81
GC56A8F	La Grand Cave #1	N 47° 01.215	E 006° 36.799	France	Bourgogne-Franche-Comté	78
GC56ABF	La Grand Cave #2	N 47° 01.105	E 006° 36.965	France	Bourgogne-Franche-Comté	90
GC56ACC	La Grand Cave #3	N 47° 01.065	E 006° 37.104	France	Bourgogne-Franche-Comté	71
GC56AD4	La Grand Cave #4	N 47° 00.821	E 006° 37.095	France	Bourgogne-Franche-Comté	89
GC56ADG	La Grand Cave #5	N 47° 00.469	E 006° 36.862	France	Bourgogne-Franche-Comté	103
GC56AE8	La Grand Cave #6	N 47° 00.673	E 006° 36.746	France	Bourgogne-Franche-Comté	92
GC56AEQ	La Grand Cave #7	N 47° 00.832	E 006° 36.680	France	Bourgogne-Franche-Comté	82
GC56AF9	La Grand Cave #8	N 47° 01.019	E 006° 36.613	France	Bourgogne-Franche-Comté	89
GC56AFG	La Grand Cave #9	N 47° 01.086	E 006° 36.515	France	Bourgogne-Franche-Comté	71
GC56AGV	La Grand Cave #Bonus	N 47° 01.080	E 006° 36.557	France	Bourgogne-Franche-Comté	48
GC5721P	Ballade du Bourg - Gîte Bista Eder La vieille Cave	N 44° 13.301	E 003° 08.334	France	Occitanie	31
GC574Z9	Cesky Raj - Yogi & Boo-Boo Cave	N 50° 30.247	E 015° 12.415	Czechia	Liberecký kraj	475
GC57F1E	The Cave	N 48° 06.234	E 011° 26.495	Germany	Bayern	500
GC58RJ7	[LHAV]#4 - PCMC - Cave Notre-Dame	N 43° 35.571	E 003° 54.383	France	Occitanie	144
GC59TR3	La cave aux nains	N 49° 10.311	E 004° 27.989	France	Grand-Est	72
GC5B62G	Mazets peints # la cabane brune de Sérignan (cave)	N 43° 16.940	E 003° 18.378	France	Occitanie	386
GC5ED60	The Cave	N 49° 36.958	E 007° 34.472	Germany	Rheinland-Pfalz	37
GC5F6CG	Vauvert A : La cave coopérative	N 43° 41.497	E 004° 16.224	France	Occitanie	194
GC5KE59	La cave mystère	N 47° 18.250	E 001° 11.020	France	Centre-Val-de-Loire	17
GC5NADD	Cave dwellings in Noszvaj	N 47° 55.732	E 020° 28.930	Hungary	Heves	108
GC5P8XG	La cave au vin du nain 	N 45° 42.900	E 004° 45.400	France	Auvergne-Rhône-Alpes	17
GC5PGDE	Cave du diable	N 49° 13.569	E 002° 58.658	France	Hauts-de-France	48
GC5QM4H	La Cave du Roy	N 48° 08.850	E 002° 47.500	France	Centre-Val-de-Loire	30
GC5R48F	Cave Bahnheim	N 49° 26.311	E 007° 43.437	Germany	Rheinland-Pfalz	90
GC5R48K	Cave Kindsbach	N 49° 24.931	E 007° 37.048	Germany	Rheinland-Pfalz	34
GC5R4BA	2 - La balade des Nichoirs - La cave	N 47° 55.207	E 004° 34.352	France	Bourgogne-Franche-Comté	21
GC5RDAT	Honey cave	N 49° 49.273	E 024° 05.391	Ukraine	Lviv	24
GC5W10F	THE ORCALYNS'S CAVE	N 43° 44.269	E 006° 07.496	France	Provence-Alpes-Côte d'Azur	23
GC5WQE0	Cave Kotten	N 49° 26.629	E 007° 45.672	Germany	Rheinland-Pfalz	24
GC5WVTD	Cave à vin à La Cresse - Style Elfe	N 44° 10.680	E 003° 08.194	France	Occitanie	53
GC5WVTT	Cave à vin à Contre-pinet	N 44° 11.485	E 003° 08.572	France	Occitanie	23
GC5WXMV	6-La cave du Cairou-Les balcons de St-Martin	N 44° 56.390	E 004° 21.162	France	Auvergne-Rhône-Alpes	7
GC5Y4AR	Echarcon #03 - La mare de la cave au renard	N 48° 34.275	E 002° 24.734	France	Île-de-France	63
GC5Y4CC	Echarcon #04 - Le muret de la cave au renard	N 48° 34.292	E 002° 24.935	France	Île-de-France	58
GC5YWXT	Oenotourisme finale cave coopérative	N 44° 04.099	E 004° 13.689	France	Occitanie	20
GC5ZCNZ	Cave- tour Ueßbachtal	N 50° 04.280	E 007° 02.276	Germany	Rheinland-Pfalz	24
GC63ZCA	[FDV] #1 - La Cave aux TB	N 47° 15.861	E 002° 06.725	France	Centre-Val-de-Loire	32
GC64J6V	Stradchanskaya cave	N 49° 53.861	E 023° 45.348	Ukraine	Lviv	11
GC65X6Q	Jeskyne Byci skala/Byci skala Cave	N 49° 18.440	E 016° 41.614	Czechia	Jihomoravský kraj	349
GC67KWK	Une cave en plein air # Série Rond-point	N 47° 00.976	E 004° 50.218	France	Bourgogne-Franche-Comté	188
GC67X40	La forêt de Fausses Reposes #16: la cave	N 48° 48.723	E 002° 09.461	France	Île-de-France	94
GC68H5M	Cave and the Koppel 	N 53° 47.036	E 011° 33.937	Germany	Mecklenburg-Vorpommern	56
GC68QP0	Pont de la cave au loup	N 48° 59.683	E 001° 39.849	France	Île-de-France	8
GC690JX	LA CAVE DE BILBO.	N 48° 41.500	E 006° 06.500	France	Grand-Est	10
GC69E48	Cave médiévale	N 49° 08.725	E 001° 09.258	France	Normandie	6
GC69T03	Batmans Cave	N 46° 58.428	E 008° 22.039	Switzerland	Nidwalden	77
GC6A7QJ	Cave Kindsbach II	N 49° 24.935	E 007° 37.105	Germany	Rheinland-Pfalz	43
GC6C6DY	La  cave vivante du  champignon  !	N 47° 07.069	W 000° 12.305	France	Pays de la Loire	24
