GC,title,url,lat,lon,country,province.state,county,numfinds,numpage
GC3GC0B,bailysleviathanminerd.#36,NA,38.7226166666667,-118.342783333333,UnitedStates,California,AlpineCounty,97,NA
GC3GC0K,bailysleviathanminerd.#37,NA,38.72085,-118.340933333333,UnitedStates,California,AlpineCounty,102,NA
GC3GC0V,bailysleviathanminerd.#38,NA,38.7176666666667,-118.3408,UnitedStates,California,AlpineCounty,103,NA
GC3GEWW,CaveViewCache,NA,47.7313666666667,-51.2836166666667,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,46,NA
GC3GEWW,CaveViewCache,NA,47.7313666666667,-51.2836166666667,Canada,NewfoundlandandLabrador,DivisionNo.1AvalonPeninsula-St.John's,46,NA
GC3GJ3E,ThisLittleLightofMine...,NA,53.90105,-110.683266666667,Canada,Alberta,DivisionNo.12ColdLake,5,NA
GC3GJMY,CreepyCave,NA,37.7574,-121.741383333333,UnitedStates,California,AlamedaCounty,168,NA
GC3GJTG,"Tellmeaboutthis""CopperMine""",NA,37.109,-120.64355,UnitedStates,California,SantaClaraCounty,50,NA
GC3GR5G,Mineandmylittlescache,NA,42.72555,-91.51905,UnitedStates,Iowa,BremerCounty,174,NA
GC3H4C9,GoldMineTrailheadCache,NA,48.9201666666667,-121.7345,UnitedStates,Washington,WhatcomCounty,98,NA
GC3HHQE,Hang'inRoundBackonMineHill,NA,NA,NA,NA,NA,NA,NA,NA
GC3HM5X,ARockCavealongStrangeBrew,NA,NA,NA,NA,NA,NA,NA,NA
GC3HNTW,WascottCopperMine#1,NA,46.22155,-90.42735,UnitedStates,Wisconsin,DouglasCounty,29,NA
GC3HTZZ,MakeMineaChiliCheeseHalf&Half!,NA,34.20435,-81.8271,UnitedStates,SouthCarolina,GreenwoodCounty,31,NA
GC3HX7D,Groupedelouvescave,NA,53.6711666666667,-112.514166666667,Canada,Alberta,DivisionNo.11Edmonton,41,NA
GC3HY5N,WascottCopperMine#2,NA,46.2222833333333,-90.4424333333333,UnitedStates,Wisconsin,DouglasCounty,23,NA
GC3HY69,WascottCopperMine#3,NA,46.22385,-90.4434833333333,UnitedStates,Wisconsin,DouglasCounty,20,NA
GC3HY77,WascottCopperMine#4,NA,46.2253333333333,-90.4447666666667,UnitedStates,Wisconsin,DouglasCounty,20,NA
