county,WNS_MAP_YR,WNS_STATUS
Alleghany-Virginia,2013-14,Absent
Alleghany-Virginia,2014-15,Absent
Alleghany-Virginia,2015-16,Absent
Alleghany-Virginia,2016-17,Absent
Alleghany-Virginia,2017-18,Absent
Alleghany-Virginia,2018-19,Absent
Alpena-Michigan,2006-07,Absent
Alpena-Michigan,2007-08,Absent
Alpena-Michigan,2008-09,Absent
Alpena-Michigan,2009-10,Absent
Alpena-Michigan,2010-11,Absent
Alpena-Michigan,2011-12,Absent
Alpena-Michigan,2012-13,Absent
Alpena-Michigan,2014-15,Absent
Alpena-Michigan,2015-16,Absent
Alpena-Michigan,2016-17,Absent
Alpena-Michigan,2017-18,Absent
Alpena-Michigan,2018-19,Absent
Anderson-Tennessee,2006-07,Absent
Anderson-Tennessee,2007-08,Absent
Anderson-Tennessee,2008-09,Absent
Anderson-Tennessee,2009-10,Absent
Anderson-Tennessee,2010-11,Absent
Anderson-Tennessee,2011-12,Absent
Anderson-Tennessee,2012-13,Absent
Anderson-Tennessee,2014-15,Absent
Anderson-Tennessee,2015-16,Absent
Anderson-Tennessee,2016-17,Absent
Anderson-Tennessee,2017-18,Absent
Anderson-Tennessee,2018-19,Absent
Annapolis-Nova Scotia,2006-07,Absent
Annapolis-Nova Scotia,2007-08,Absent
Annapolis-Nova Scotia,2008-09,Absent
Annapolis-Nova Scotia,2009-10,Absent
Annapolis-Nova Scotia,2010-11,Absent
Annapolis-Nova Scotia,2011-12,Absent
Annapolis-Nova Scotia,2013-14,Absent
Annapolis-Nova Scotia,2014-15,Absent
Annapolis-Nova Scotia,2015-16,Absent
Annapolis-Nova Scotia,2016-17,Absent
Annapolis-Nova Scotia,2017-18,Absent
Annapolis-Nova Scotia,2018-19,Absent
Antigonish-Nova Scotia,2006-07,Absent
Antigonish-Nova Scotia,2007-08,Absent
Antigonish-Nova Scotia,2008-09,Absent
Antigonish-Nova Scotia,2009-10,Absent
Antigonish-Nova Scotia,2010-11,Absent
Antigonish-Nova Scotia,2011-12,Absent
Antigonish-Nova Scotia,2013-14,Absent
Antigonish-Nova Scotia,2014-15,Absent
Antigonish-Nova Scotia,2015-16,Absent
Antigonish-Nova Scotia,2016-17,Absent
Antigonish-Nova Scotia,2017-18,Absent
Antigonish-Nova Scotia,2018-19,Absent
Antoine-Labelle-Québec,2006-07,Absent
Antoine-Labelle-Québec,2007-08,Absent
Antoine-Labelle-Québec,2008-09,Absent
Antoine-Labelle-Québec,2009-10,Absent
Antoine-Labelle-Québec,2010-11,Absent
Antoine-Labelle-Québec,2011-12,Absent
Antoine-Labelle-Québec,2012-13,Absent
Antoine-Labelle-Québec,2013-14,Absent
Antoine-Labelle-Québec,2015-16,Absent
Antoine-Labelle-Québec,2016-17,Absent
Antoine-Labelle-Québec,2017-18,Absent
Antoine-Labelle-Québec,2018-19,Absent
Armstrong-Pennsylvania,2006-07,Absent
Armstrong-Pennsylvania,2007-08,Absent
Armstrong-Pennsylvania,2008-09,Absent
Armstrong-Pennsylvania,2009-10,Absent
Armstrong-Pennsylvania,2010-11,Absent
Armstrong-Pennsylvania,2012-13,Absent
Armstrong-Pennsylvania,2013-14,Absent
Armstrong-Pennsylvania,2014-15,Absent
Armstrong-Pennsylvania,2015-16,Absent
Armstrong-Pennsylvania,2016-17,Absent
Armstrong-Pennsylvania,2017-18,Absent
Armstrong-Pennsylvania,2018-19,Absent
Ashland-Ohio,2006-07,Absent
Ashland-Ohio,2007-08,Absent
Ashland-Ohio,2008-09,Absent
Ashland-Ohio,2009-10,Absent
Ashland-Ohio,2010-11,Absent
Ashland-Ohio,2011-12,Absent
Ashland-Ohio,2013-14,Absent
Ashland-Ohio,2014-15,Absent
Ashland-Ohio,2015-16,Absent
Ashland-Ohio,2016-17,Absent
Ashland-Ohio,2017-18,Absent
