"","gc.lat","gen.lat","gc.lon","gen.lon","dist","Region","Country","Province","StrainID","sra_code","lon.x","cave","GC","lon.y","mean"
"43",44.8875,44.28,-76.8108333333333,-77.28,77106.8643994877,"North America","Canada","ON","ON3","ON3",-77.28,"Missing","GCTNHG",-76.8108333333333,20.0746268656716
"44",44.8875,45.3,-76.8108333333333,-77.63,79117.1999133682,"North America","Canada","ON","ON4","ON4",-77.63,"Missing","GCTNHG",-76.8108333333333,20.0746268656716
"45",45.2425,44.5629,-69.6280555555556,-68.3682,124916.611528103,"North America","USA","ME","Gd05826","23874-1",-68.3682,"Missing","GC6JY8W",-69.6280555555556,21.24
"46",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB64","NB64",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"47",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB36","NB36",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"48",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB37","NB37",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"49",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB39","NB39",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"50",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB43","NB43",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"51",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB44","NB44",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"52",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB57","NB57",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"53",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB55","NB55",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"54",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB1","NB1",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"55",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB4","NB4",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"56",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB62","NB62",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"57",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB47","NB47",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"58",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB28","NB28",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"59",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB69","NB69",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"60",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB38","NB38",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"61",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB67","NB67",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"62",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB30","NB30",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"63",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB24","NB24",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"64",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB33","NB33",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"65",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB40","NB40",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"66",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB5","NB5",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"67",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB9","NB9",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"68",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB66","NB66",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"69",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB63","NB63",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"70",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB32","NB32",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"71",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB41","NB41",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"72",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB50","NB50",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"73",45.3375,45.180127,-65.9186111111111,-66.400075,41641.569244796,"North America","Canada","NB","NB25","NB25",-66.400075,"Howes Cave","GC7FE1",-65.9186111111111,18.0045662100457
"74",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB23","NB23",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"75",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB2","NB2",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"76",45.3375,45.36055,-65.9186111111111,-65.26024,51657.7664296282,"North America","Canada","NB","NB6","NB6",-65.26024,"Markhamville Mine","GC7FE1",-65.9186111111111,18.0045662100457
"77",45.3375,45.39043,-65.9186111111111,-65.22053,55007.1730243394,"North America","Canada","NB","NB61","NB61",-65.22053,"Glebe Mine","GC7FE1",-65.9186111111111,18.0045662100457
"78",45.3375,45.180017,-65.9186111111111,-66.030033,19565.5698543733,"North America","Canada","NB","NB31","NB31",-66.030033,"Harbells Cave","GC7FE1",-65.9186111111111,18.0045662100457
"79",45.49,45.52,-71.8133333333333,-71.28,41813.6820553086,"North America","Canada","QU","QU13","QU13",-71.28,"Missing","GC6HG7V",-71.8133333333333,25.7462686567164
"80",45.49,45.52,-71.8133333333333,-71.28,41813.6820553086,"North America","Canada","QU","QU12","QU12",-71.28,"Missing","GC6HG7V",-71.8133333333333,25.7462686567164
"81",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB27","NB27",-64.280423,"Dorchester Mine","GC3PPYW",-64.3772222222222,17.093023255814
"82",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB48","NB48",-64.280423,"Dorchester Mine","GC3PPYW",-64.3772222222222,17.093023255814
"83",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB35","NB35",-64.280423,"Dorchester Mine","GC3PPYW",-64.3772222222222,17.093023255814
"84",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB26","NB26",-64.280423,"Dorchester Mine","GC3PPYW",-64.3772222222222,17.093023255814
"85",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB49","NB49",-64.280423,"Dorchester Mine","GC3PPYW",-64.3772222222222,17.093023255814
"86",45.715,45.560171,-64.3772222222222,-64.280423,18790.6172460714,"North America","Canada","NB","NB3","NB3",-64.280423,"Dorchester Mine","GC3PPYW",-64.3772222222222,17.093023255814
"87",45.8375,51.5167,-61.8669444444444,11.1667,5188467.48728277,"Europe","Germany","Thuringen","Gd00003","GU999986",11.1667,"Missing","GC5XCCQ",-61.8669444444444,11.6
"88",45.8375,47.08333,-61.8669444444444,8,5182829.18831074,"Europe","Switzerland","Argau","Gd00079","GU350433",8,"Missing","GC5XCCQ",-61.8669444444444,11.6
"89",45.8375,47.1455,-61.8669444444444,17.6224,5825729.46453037,"Europe","Hungary","Kislod","Gd00080","GU350434",17.6224,"Missing","GC5XCCQ",-61.8669444444444,11.6
"90",45.8375,45.1,-61.8669444444444,0.7,4763372.43988938,"Europe","France","Aquitaine","Gd00494","Gd41",0.7,"Missing","GC5XCCQ",-61.8669444444444,11.6
