GC,title,nospace,url,lat,lon,country,province/state,county,numfinds
GC2Z83R,On The Road To Shoal Bay#8,on-the-road-to-shoal-bay8,https://www.geocaching.com/geocache/GC2Z83R_on-the-road-to-shoal-bay8,N 47° 25.684,W 052° 44.395,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,57
GC2Z83X,On The Road To Shoal Bay#9,on-the-road-to-shoal-bay9,https://www.geocaching.com/geocache/GC2Z83X_on-the-road-to-shoal-bay9,N 47° 25.657,W 052° 44.243,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,51
GC2ZE6C,Julia is around the corner,julia-is-around-the-corner,https://www.geocaching.com/geocache/GC2ZE6C_julia-is-around-the-corner,N 47° 29.933,W 053° 00.269,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,37
GC2ZE71,"Are You Feeling ""BLUE""?",are-you-feeling-blue,https://www.geocaching.com/geocache/GC2ZE71_are-you-feeling-blue,N 47° 29.497,W 053° 02.115,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,39
GC2ZGGX,Just off the Path,just-off-the-path,https://www.geocaching.com/geocache/GC2ZGGX_just-off-the-path,N 48° 28.932,W 058° 15.499,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,43
GC2ZTMM,The Moose Garden,the-moose-garden,https://www.geocaching.com/geocache/GC2ZTMM_the-moose-garden,N 51° 25.740,W 055° 51.199,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,90
GC2ZZPJ,LOL 2 Cache,lol-2-cache,https://www.geocaching.com/geocache/GC2ZZPJ_lol-2-cache,N 48° 42.874,W 053° 47.645,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,32
GC3026M,Visiting Newfoundland,visiting-newfoundland,https://www.geocaching.com/geocache/GC3026M_visiting-newfoundland,N 47° 33.798,W 052° 44.508,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,13
GC30392,1st International Geocaching Day in Newfoundland,1st-international-geocaching-day-in-newfoundland,https://www.geocaching.com/geocache/GC30392_1st-international-geocaching-day-in-newfoundland,N 47° 30.265,W 052° 47.712,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,18
GC30AKQ,Give me a call.,give-me-a-call,https://www.geocaching.com/geocache/GC30AKQ_give-me-a-call,N 47° 13.355,W 055° 21.765,Canada,Newfoundland and Labrador,Division No. 1 Avalon Peninsula-St. John's,22
