GC,title,lower,nospace,url,lat,lon,numfind,numpage
GCZRAQ,Northern NB Friendly Giant Series #5,northern nb friendly giant series 5,northern-nb-friendly-giant-series-5,https://www.geocaching.com/geocache/GCZRAQ_northern-nb-friendly-giant-series-5,N 46° 59.370,W 065° 35.974,58,3
GC102XF,'Skidder' Done!,skidder done,skidder-done,https://www.geocaching.com/geocache/GC102XF_skidder-done,N 46° 00.619,W 066° 37.301,186,8
GC102YA,Hiker's Requiem,hikers requiem,hikers-requiem,https://www.geocaching.com/geocache/GC102YA_hikers-requiem,N 46° 00.650,W 066° 37.597,248,10
GC108XJ,Totally Stumped,totally stumped,totally-stumped,https://www.geocaching.com/geocache/GC108XJ_totally-stumped,N 46° 00.537,W 066° 37.470,186,8
GC108XQ,Fork in the Road,fork in the road,fork-in-the-road,https://www.geocaching.com/geocache/GC108XQ_fork-in-the-road,N 46° 00.429,W 066° 37.635,187,8
GC108Y8,Pirate's Compass,pirates compass,pirates-compass,https://www.geocaching.com/geocache/GC108Y8_pirates-compass,N 45° 57.480,W 066° 35.893,115,5
GC10JZ6,La Source,la source,la-source,https://www.geocaching.com/geocache/GC10JZ6_la-source,N 46° 44.490,W 065° 24.212,50,2
GC10MHE,Holy Populars!,holy populars,holy-populars,https://www.geocaching.com/geocache/GC10MHE_holy-populars,N 45° 59.535,W 065° 57.858,82,4
GC10MHF,Cumberland Maples,cumberland maples,cumberland-maples,https://www.geocaching.com/geocache/GC10MHF_cumberland-maples,N 45° 57.741,W 065° 57.873,86,4
GC12E13,New Maryland Poop Pond,new maryland poop pond,new-maryland-poop-pond,https://www.geocaching.com/geocache/GC12E13_new-maryland-poop-pond,N 45° 54.274,W 066° 40.783,45,2
GC13DMT,Jim52's 5000th Find Travel Bug Hotel,jim52s 5000th find travel bug hotel,jim52s-5000th-find-travel-bug-hotel,https://www.geocaching.com/geocache/GC13DMT_jim52s-5000th-find-travel-bug-hotel,N 45° 53.447,W 066° 41.559,194,8
GC14KN2,Honor Roll,honor roll,honor-roll,https://www.geocaching.com/geocache/GC14KN2_honor-roll,N 47° 00.096,W 065° 33.779,195,8
GC15HN1,Man made Cliff,man made cliff,man-made-cliff,https://www.geocaching.com/geocache/GC15HN1_man-made-cliff,N 45° 57.111,W 066° 41.120,325,13
GC164AD,New Market Recreation Centre,new market recreation centre,new-market-recreation-centre,https://www.geocaching.com/geocache/GC164AD_new-market-recreation-centre,N 45° 50.109,W 066° 55.816,27,2
GC173XE,Grand View of Little River Falls,grand view of little river falls,grand-view-of-little-river-falls,https://www.geocaching.com/geocache/GC173XE_grand-view-of-little-river-falls,N 47° 03.034,W 067° 44.371,265,11
GC194N3,Turn off for beavers,turn off for beavers,turn-off-for-beavers,https://www.geocaching.com/geocache/GC194N3_turn-off-for-beavers,N 45° 54.911,W 066° 40.867,110,5
GC1BP5Q,Down in the Dumps,down in the dumps,down-in-the-dumps,https://www.geocaching.com/geocache/GC1BP5Q_down-in-the-dumps,N 45° 52.788,W 066° 36.656,173,7
GC1C2MT,Shady Shed,shady shed,shady-shed,https://www.geocaching.com/geocache/GC1C2MT_shady-shed,N 45° 55.345,W 066° 36.416,125,5
GC1CCK9,Kid's Country,kids country,kids-country,https://www.geocaching.com/geocache/GC1CCK9_kids-country,N 45° 57.745,W 066° 34.458,35,2
GC1F3HN,HR Gags 'n Stuff,hr gags n stuff,hr-gags-n-stuff,https://www.geocaching.com/geocache/GC1F3HN_hr-gags-n-stuff,N 45° 59.545,W 066° 38.662,102,5
GC1H6KW,New Brunswick Alphanumeric Challenge,new brunswick alphanumeric challenge,new-brunswick-alphanumeric-challenge,https://www.geocaching.com/geocache/GC1H6KW_new-brunswick-alphanumeric-challenge,N 45° 55.905,W 065° 48.114,56,3
GC1HJRJ,2nd Southwestern NB Friendly Giant Series,2nd southwestern nb friendly giant series,2nd-southwestern-nb-friendly-giant-series,https://www.geocaching.com/geocache/GC1HJRJ_2nd-southwestern-nb-friendly-giant-series,N 45° 51.273,W 066° 48.289,91,4
GC1HN8M,3rd Southwestern NB Friendly Giant Series,3rd southwestern nb friendly giant series,3rd-southwestern-nb-friendly-giant-series,https://www.geocaching.com/geocache/GC1HN8M_3rd-southwestern-nb-friendly-giant-series,N 45° 49.268,W 066° 49.927,106,5
GC1HN8N,4th Southwestern NB Friendly Giant Series,4th southwestern nb friendly giant series,4th-southwestern-nb-friendly-giant-series,https://www.geocaching.com/geocache/GC1HN8N_4th-southwestern-nb-friendly-giant-series,N 45° 44.613,W 066° 55.602,122,5
GC1HN8P,5th Southwestern NB Friendly Giant Series,5th southwestern nb friendly giant series,5th-southwestern-nb-friendly-giant-series,https://www.geocaching.com/geocache/GC1HN8P_5th-southwestern-nb-friendly-giant-series,N 45° 44.725,W 066° 56.104,73,3
GC1HZ3X,The Welcomer,the welcomer,the-welcomer,https://www.geocaching.com/geocache/GC1HZ3X_the-welcomer,N 46° 42.935,W 065° 50.116,39,2
GC1JG5E,One Step Beyond,one step beyond,one-step-beyond,https://www.geocaching.com/geocache/GC1JG5E_one-step-beyond,N 45° 56.121,W 066° 39.982,472,19
GC1JPQ6,A Busy Hive,a busy hive,a-busy-hive,https://www.geocaching.com/geocache/GC1JPQ6_a-busy-hive,N 45° 56.633,W 066° 41.387,349,14
GC1JVW5,8th Southwestern NB Friendly Giant Series,8th southwestern nb friendly giant series,8th-southwestern-nb-friendly-giant-series,https://www.geocaching.com/geocache/GC1JVW5_8th-southwestern-nb-friendly-giant-series,N 45° 51.334,W 066° 55.551,78,4
GC1MCJJ,Heavy Metal,heavy metal,heavy-metal,https://www.geocaching.com/geocache/GC1MCJJ_heavy-metal,N 45° 59.126,W 066° 40.705,86,4
GC1Q7D1,A View of Princess Margaret Bridge,a view of princess margaret bridge,a-view-of-princess-margaret-bridge,https://www.geocaching.com/geocache/GC1Q7D1_a-view-of-princess-margaret-bridge,N 45° 55.581,W 066° 36.671,282,12
GC1T3WR,The New Maryland Castle,the new maryland castle,the-new-maryland-castle,https://www.geocaching.com/geocache/GC1T3WR_the-new-maryland-castle,N 45° 53.879,W 066° 40.904,129,6
GC1T3Z5,Fishing trips '04-'09,fishing trips 0409,fishing-trips-0409,https://www.geocaching.com/geocache/GC1T3Z5_fishing-trips-0409,N 45° 36.110,W 067° 20.276,23,1
GC1VQB9,Need a light?,need a light,need-a-light,https://www.geocaching.com/geocache/GC1VQB9_need-a-light,N 45° 55.492,W 066° 42.744,99,4
GC1XCX6,Between and Betwix,between and betwix,between-and-betwix,https://www.geocaching.com/geocache/GC1XCX6_between-and-betwix,N 45° 50.253,W 066° 53.730,76,4
GC1XHAN,Lake Connector Series: Kingfisher,lake connector series kingfisher,lake-connector-series-kingfisher,https://www.geocaching.com/geocache/GC1XHAN_lake-connector-series-kingfisher,N 45° 45.417,W 067° 01.377,48,2
GC1Y0C6,Nashwaak River,nashwaak river,nashwaak-river,https://www.geocaching.com/geocache/GC1Y0C6_nashwaak-river,N 46° 14.357,W 066° 36.689,80,4
GC1ZKWY,French Fort Stroll,french fort stroll,french-fort-stroll,https://www.geocaching.com/geocache/GC1ZKWY_french-fort-stroll,N 47° 01.143,W 065° 32.801,195,8
GC1ZNZJ,"Renforth,New Brunswick",renforthnew brunswick,renforthnew-brunswick,https://www.geocaching.com/geocache/GC1ZNZJ_renforthnew-brunswick,N 45° 21.608,W 066° 00.848,91,4
GC217Q5,Clear as Mud,clear as mud,clear-as-mud,https://www.geocaching.com/geocache/GC217Q5_clear-as-mud,N 45° 49.679,W 067° 10.576,13,1
GC219Y7,forgotten park,forgotten park,forgotten-park,https://www.geocaching.com/geocache/GC219Y7_forgotten-park,N 45° 58.827,W 066° 36.126,94,4
GC22PN3,Cherry Mountain Cemetary,cherry mountain cemetary,cherry-mountain-cemetary,https://www.geocaching.com/geocache/GC22PN3_cherry-mountain-cemetary,N 45° 43.610,W 067° 00.898,96,4
GC234ZN,"10 Years! Fredericton, New Brunswick, Canada",10 years fredericton new brunswick canada,10-years-fredericton-new-brunswick-canada,https://www.geocaching.com/geocache/GC234ZN_10-years-fredericton-new-brunswick-canada,N 45° 47.540,W 066° 51.132,23,1
GC23NDT,Outback New Maryland,outback new maryland,outback-new-maryland,https://www.geocaching.com/geocache/GC23NDT_outback-new-maryland,N 45° 53.709,W 066° 41.877,42,2
GC23PA5,Yoho Scout Reserve,yoho scout reserve,yoho-scout-reserve,https://www.geocaching.com/geocache/GC23PA5_yoho-scout-reserve,N 45° 47.733,W 066° 51.151,170,7
GC23RWK,Miramichi Landing,miramichi landing,miramichi-landing,https://www.geocaching.com/geocache/GC23RWK_miramichi-landing,N 47° 01.849,W 065° 28.220,313,13
GC24D57,"Patience, Dear",patience dear,patience-dear,https://www.geocaching.com/geocache/GC24D57_patience-dear,N 45° 55.489,W 066° 38.982,173,7
GC24XKV,Sunday Drive Series--Prince William Cemetery,sunday drive seriesprince william cemetery,sunday-drive-seriesprince-william-cemetery,https://www.geocaching.com/geocache/GC24XKV_sunday-drive-seriesprince-william-cemetery,N 45° 52.737,W 066° 59.352,152,7
GC25FBG,New Lenentine Cemetery,new lenentine cemetery,new-lenentine-cemetery,https://www.geocaching.com/geocache/GC25FBG_new-lenentine-cemetery,N 45° 59.618,W 067° 26.000,28,2
GC25G6W,Out in the open,out in the open,out-in-the-open,https://www.geocaching.com/geocache/GC25G6W_out-in-the-open,N 45° 57.783,W 066° 37.291,271,11
GC25GVW,Little Penguin,little penguin,little-penguin,https://www.geocaching.com/geocache/GC25GVW_little-penguin,N 45° 59.416,W 066° 37.922,313,13
GC25JK3,Maxwell Cemetery,maxwell cemetery,maxwell-cemetery,https://www.geocaching.com/geocache/GC25JK3_maxwell-cemetery,N 45° 53.470,W 067° 41.621,43,2
GC26784,Lo Tommie,lo tommie,lo-tommie,https://www.geocaching.com/geocache/GC26784_lo-tommie,N 45° 33.808,W 067° 25.497,57,3
GC268CR,"""Between a Park and a Back Place""","""between a park and a back place""",between-a-park-and-a-back-place,https://www.geocaching.com/geocache/GC268CR_between-a-park-and-a-back-place,N 45° 57.042,W 066° 38.838,179,8
GC26QD3,One for OLS,one for ols,one-for-ols,https://www.geocaching.com/geocache/GC26QD3_one-for-ols,N 45° 55.397,W 066° 52.733,139,6
GC271Y9,Seeker96's first Cache,seeker96s first cache,seeker96s-first-cache,https://www.geocaching.com/geocache/GC271Y9_seeker96s-first-cache,N 45° 58.737,W 066° 38.871,183,8
GC27GHP,The old road,the old road,the-old-road,https://www.geocaching.com/geocache/GC27GHP_the-old-road,N 45° 49.436,W 066° 49.675,48,2
GC28CNH,A New Road to Explore,a new road to explore,a-new-road-to-explore,https://www.geocaching.com/geocache/GC28CNH_a-new-road-to-explore,N 45° 27.552,W 066° 03.129,62,3
GC2AX5E,St. Luke,st luke,st-luke,https://www.geocaching.com/geocache/GC2AX5E_st-luke,N 46° 03.247,W 067° 14.730,44,2
GC2CHMA,Never Ending Series: The Overhang 1,never ending series the overhang 1,never-ending-series-the-overhang-1,https://www.geocaching.com/geocache/GC2CHMA_never-ending-series-the-overhang-1,N 45° 51.727,W 066° 54.787,27,2
GC2CHMF,Never Ending Series: The Overhang 2,never ending series the overhang 2,never-ending-series-the-overhang-2,https://www.geocaching.com/geocache/GC2CHMF_never-ending-series-the-overhang-2,N 45° 51.525,W 066° 54.737,22,1
GC2CR3B,New Market Rec Center,new market rec center,new-market-rec-center,https://www.geocaching.com/geocache/GC2CR3B_new-market-rec-center,N 45° 50.052,W 066° 55.830,68,3
GC2D48P,Big Old Tree,big old tree,big-old-tree,https://www.geocaching.com/geocache/GC2D48P_big-old-tree,N 45° 58.055,W 066° 36.355,167,7
GC2D81B,Cachers Cove,cachers cove,cachers-cove,https://www.geocaching.com/geocache/GC2D81B_cachers-cove,N 45° 44.200,W 067° 00.902,54,3
GC2D85W,It's Not my Fault!!,its not my fault,its-not-my-fault,https://www.geocaching.com/geocache/GC2D85W_its-not-my-fault,N 45° 54.978,W 066° 46.534,140,6
GC2DA6B,Unknown Baby,unknown baby,unknown-baby,https://www.geocaching.com/geocache/GC2DA6B_unknown-baby,N 45° 34.400,W 067° 23.367,82,4
GC2DHAM,New Maryland ATV Trail,new maryland atv trail,new-maryland-atv-trail,https://www.geocaching.com/geocache/GC2DHAM_new-maryland-atv-trail,N 45° 52.447,W 066° 41.633,51,3
GC2DHB1,Stumpy in New Maryland,stumpy in new maryland,stumpy-in-new-maryland,https://www.geocaching.com/geocache/GC2DHB1_stumpy-in-new-maryland,N 45° 52.545,W 066° 41.532,54,3
GC2DTGR,A Cache at Ingleside,a cache at ingleside,a-cache-at-ingleside,https://www.geocaching.com/geocache/GC2DTGR_a-cache-at-ingleside,N 45° 19.630,W 066° 12.099,20,1
GC2EKAX,Home Team Wins,home team wins,home-team-wins,https://www.geocaching.com/geocache/GC2EKAX_home-team-wins,N 45° 50.540,W 067° 01.905,59,3
GC2FTRJ,A Cache at Ononette,a cache at ononette,a-cache-at-ononette,https://www.geocaching.com/geocache/GC2FTRJ_a-cache-at-ononette,N 45° 19.876,W 066° 12.602,42,2
GC2FTT5,Chestnut Hill,chestnut hill,chestnut-hill,https://www.geocaching.com/geocache/GC2FTT5_chestnut-hill,N 45° 19.812,W 066° 12.364,78,4
GC2FTTK,Steven's Court,stevens court,stevens-court,https://www.geocaching.com/geocache/GC2FTTK_stevens-court,N 45° 19.517,W 066° 11.958,74,3
GC2FTV0,River Valley Ball Field,river valley ball field,river-valley-ball-field,https://www.geocaching.com/geocache/GC2FTV0_river-valley-ball-field,N 45° 19.395,W 066° 11.853,93,4
GC2FTV8,River Valley Community Center,river valley community center,river-valley-community-center,https://www.geocaching.com/geocache/GC2FTV8_river-valley-community-center,N 45° 19.284,W 066° 11.762,103,5
GC2GGQD,Granny's House,grannys house,grannys-house,https://www.geocaching.com/geocache/GC2GGQD_grannys-house,N 45° 58.390,W 066° 37.789,133,6
GC2GJ3D,A Walk with Portie #1,a walk with portie 1,a-walk-with-portie-1,https://www.geocaching.com/geocache/GC2GJ3D_a-walk-with-portie-1,N 45° 58.485,W 066° 38.483,162,7
GC2GJ41,A Walk with Portie #5,a walk with portie 5,a-walk-with-portie-5,https://www.geocaching.com/geocache/GC2GJ41_a-walk-with-portie-5,N 45° 58.219,W 066° 37.860,158,7
GC2HWE1,En Guard # 21,en guard  21,en-guard-21,https://www.geocaching.com/geocache/GC2HWE1_en-guard-21,N 45° 47.346,W 066° 41.716,121,5
GC2HWJF,A Royal Cache!,a royal cache,a-royal-cache,https://www.geocaching.com/geocache/GC2HWJF_a-royal-cache,N 46° 59.390,W 065° 34.552,129,6
GC2JBF0,Cannon Fodder,cannon fodder,cannon-fodder,https://www.geocaching.com/geocache/GC2JBF0_cannon-fodder,N 45° 57.190,W 066° 37.380,212,9
GC2JZ07,looking fir love?,looking fir love,looking-fir-love,https://www.geocaching.com/geocache/GC2JZ07_looking-fir-love,N 45° 56.788,W 066° 51.343,153,7
GC2K7DZ,Chickadee dee dee dee,chickadee dee dee dee,chickadee-dee-dee-dee,https://www.geocaching.com/geocache/GC2K7DZ_chickadee-dee-dee-dee,N 45° 54.223,W 067° 01.724,79,4
GC2KTJR,Jupiter,jupiter,jupiter,https://www.geocaching.com/geocache/GC2KTJR_jupiter,N 45° 59.358,W 066° 39.070,162,7
GC2M2EW,Special K57,special k57,special-k57,https://www.geocaching.com/geocache/GC2M2EW_special-k57,,,1,1
GC2RRPH,Wonder Where the Lions Are #1?,wonder where the lions are 1,wonder-where-the-lions-are-1,https://www.geocaching.com/geocache/GC2RRPH_wonder-where-the-lions-are-1,N 45° 19.155,W 066° 11.644,85,4
GC2RRQA,Wonder Where the Lions Are #2?,wonder where the lions are 2,wonder-where-the-lions-are-2,https://www.geocaching.com/geocache/GC2RRQA_wonder-where-the-lions-are-2,N 45° 19.056,W 066° 11.664,5,1
GC2RRQK,Pamdenac Place,pamdenac place,pamdenac-place,https://www.geocaching.com/geocache/GC2RRQK_pamdenac-place,N 45° 18.860,W 066° 11.660,8,1
GC2RRQX,View the Bay,view the bay,view-the-bay,https://www.geocaching.com/geocache/GC2RRQX_view-the-bay,N 45° 18.684,W 066° 11.608,109,5
GC2TCKM,Westfield Beach,westfield beach,westfield-beach,https://www.geocaching.com/geocache/GC2TCKM_westfield-beach,N 45° 21.197,W 066° 13.997,97,4
GC2TCMP,"""Reach"" for the View","""reach"" for the view",reach-for-the-view,https://www.geocaching.com/geocache/GC2TCMP_reach-for-the-view,N 45° 21.294,W 066° 14.091,44,2
GC2TCNH,Can You See the Ferry?,can you see the ferry,can-you-see-the-ferry,https://www.geocaching.com/geocache/GC2TCNH_can-you-see-the-ferry,N 45° 21.381,W 066° 14.156,104,5
GC2TCP6,Beach Woods,beach woods,beach-woods,https://www.geocaching.com/geocache/GC2TCP6_beach-woods,N 45° 21.466,W 066° 14.206,107,5
GC2TCQ2,Tall Cedar,tall cedar,tall-cedar,https://www.geocaching.com/geocache/GC2TCQ2_tall-cedar,N 45° 21.553,W 066° 14.299,42,2
GC2TCQP,End of the Line,end of the line,end-of-the-line,https://www.geocaching.com/geocache/GC2TCQP_end-of-the-line,N 45° 21.633,W 066° 14.366,65,3
GC2TCR9,While You Wait For The Bus,while you wait for the bus,while-you-wait-for-the-bus,https://www.geocaching.com/geocache/GC2TCR9_while-you-wait-for-the-bus,N 45° 21.658,W 066° 14.507,94,4
GC2V7K3,Behind the Lion's Den,behind the lions den,behind-the-lions-den,https://www.geocaching.com/geocache/GC2V7K3_behind-the-lions-den,N 45° 19.044,W 066° 11.613,89,4
GC2V7KR,Centrum,centrum,centrum,https://www.geocaching.com/geocache/GC2V7KR_centrum,N 45° 18.955,W 066° 11.775,58,3
GC2VPCQ,Fredericton needs a new bridge,fredericton needs a new bridge,fredericton-needs-a-new-bridge,https://www.geocaching.com/geocache/GC2VPCQ_fredericton-needs-a-new-bridge,N 45° 58.147,W 066° 38.096,92,4
GC2W322,Under Where? D4-T1,under where d4t1,under-where-d4t1,https://www.geocaching.com/geocache/GC2W322_under-where-d4t1,N 45° 58.199,W 066° 37.487,133,6
GC2Y9XH,Lake George Campground,lake george campground,lake-george-campground,https://www.geocaching.com/geocache/GC2Y9XH_lake-george-campground,N 45° 48.828,W 067° 03.854,49,2
GC2ZCFA,Woodman's Point RR Bed #1,woodmans point rr bed 1,woodmans-point-rr-bed-1,https://www.geocaching.com/geocache/GC2ZCFA_woodmans-point-rr-bed-1,N 45° 22.224,W 066° 13.998,96,4
GC2ZCFX,Woodman's Point RR Bed #2,woodmans point rr bed 2,woodmans-point-rr-bed-2,https://www.geocaching.com/geocache/GC2ZCFX_woodmans-point-rr-bed-2,N 45° 22.252,W 066° 13.874,64,3
GC2ZCGE,Woodman's Point RR Bed #3,woodmans point rr bed 3,woodmans-point-rr-bed-3,https://www.geocaching.com/geocache/GC2ZCGE_woodmans-point-rr-bed-3,N 45° 22.340,W 066° 13.566,24,1
GC2ZCH4,Hillandale,hillandale,hillandale,https://www.geocaching.com/geocache/GC2ZCH4_hillandale,N 45° 20.346,W 066° 13.142,101,5
GC2ZCHN,In Memory of our First Cache,in memory of our first cache,in-memory-of-our-first-cache,https://www.geocaching.com/geocache/GC2ZCHN_in-memory-of-our-first-cache,N 45° 19.618,W 066° 12.088,74,3
GC2ZCRW,Saved by the Bells,saved by the bells,saved-by-the-bells,https://www.geocaching.com/geocache/GC2ZCRW_saved-by-the-bells,N 45° 48.239,W 067° 03.468,40,2
GC2ZEBW,Boulderwalk too,boulderwalk too,boulderwalk-too,https://www.geocaching.com/geocache/GC2ZEBW_boulderwalk-too,N 45° 36.629,W 067° 26.990,20,1
GC2ZKRJ,Fairy's Perch guarding the last of the Ents,fairys perch guarding the last of the ents,fairys-perch-guarding-the-last-of-the-ents,https://www.geocaching.com/geocache/GC2ZKRJ_fairys-perch-guarding-the-last-of-the-ents,N 45° 57.104,W 066° 39.940,275,11
GC303HT,Tubing Down the Nashwaak!,tubing down the nashwaak,tubing-down-the-nashwaak,https://www.geocaching.com/geocache/GC303HT_tubing-down-the-nashwaak,N 46° 08.494,W 066° 37.115,5,1
GC31Y7M,Kingsclear Kilburn Community Cemetery,kingsclear kilburn community cemetery,kingsclear-kilburn-community-cemetery,https://www.geocaching.com/geocache/GC31Y7M_kingsclear-kilburn-community-cemetery,N 45° 55.295,W 066° 52.823,110,5
GC31Z3M,Man That Is a Big One!,man that is a big one,man-that-is-a-big-one,https://www.geocaching.com/geocache/GC31Z3M_man-that-is-a-big-one,N 45° 52.193,W 066° 53.478,66,3
GC31Z42,Big Fella,big fella,big-fella,https://www.geocaching.com/geocache/GC31Z42_big-fella,N 45° 52.285,W 066° 53.569,76,4
GC31Z4B,Log This One If You Can,log this one if you can,log-this-one-if-you-can,https://www.geocaching.com/geocache/GC31Z4B_log-this-one-if-you-can,N 45° 52.297,W 066° 53.748,73,3
GC31Z4P,Big Holey Fir,big holey fir,big-holey-fir,https://www.geocaching.com/geocache/GC31Z4P_big-holey-fir,N 45° 52.351,W 066° 53.888,74,3
GC31Z5R,Kelly Creek Trail Micro,kelly creek trail micro,kelly-creek-trail-micro,https://www.geocaching.com/geocache/GC31Z5R_kelly-creek-trail-micro,N 45° 52.458,W 066° 54.097,73,3
GC34309,Pining on the East,pining on the east,pining-on-the-east,https://www.geocaching.com/geocache/GC34309_pining-on-the-east,N 45° 54.761,W 066° 38.353,72,3
GC34G1B,More Pining in the East,more pining in the east,more-pining-in-the-east,https://www.geocaching.com/geocache/GC34G1B_more-pining-in-the-east,N 45° 54.648,W 066° 38.396,66,3
GC353QQ,FGT: Government House,fgt government house,fgt-government-house,https://www.geocaching.com/geocache/GC353QQ_fgt-government-house,N 45° 57.960,W 066° 39.305,453,19
GC353TE,FGT: Old Public Burial Ground,fgt old public burial ground,fgt-old-public-burial-ground,https://www.geocaching.com/geocache/GC353TE_fgt-old-public-burial-ground,N 45° 57.552,W 066° 38.555,631,26
GC353V9,FGT: Odell and the Monkey Trees,fgt odell and the monkey trees,fgt-odell-and-the-monkey-trees,https://www.geocaching.com/geocache/GC353V9_fgt-odell-and-the-monkey-trees,N 45° 57.445,W 066° 39.915,585,24
GC353WB,FGT: Charlotte Street Arts Centre,fgt charlotte street arts centre,fgt-charlotte-street-arts-centre,https://www.geocaching.com/geocache/GC353WB_fgt-charlotte-street-arts-centre,N 45° 57.313,W 066° 38.375,438,18
GC353WZ,FGT: Trail Visitor Centre,fgt trail visitor centre,fgt-trail-visitor-centre,https://www.geocaching.com/geocache/GC353WZ_fgt-trail-visitor-centre,N 45° 57.530,W 066° 37.247,385,16
GC3549T,Welcome to Round Lake,welcome to round lake,welcome-to-round-lake,https://www.geocaching.com/geocache/GC3549T_welcome-to-round-lake,N 45° 17.243,W 066° 14.341,20,1
GC354A3,Highland Road Overpass,highland road overpass,highland-road-overpass,https://www.geocaching.com/geocache/GC354A3_highland-road-overpass,N 45° 18.171,W 066° 13.250,112,5
GC354AF,Magnetic Hill...Really???,magnetic hillreally,magnetic-hillreally,https://www.geocaching.com/geocache/GC354AF_magnetic-hillreally,N 45° 28.027,W 066° 11.279,55,3
GC354AM,Belyea Point Lighthouse,belyea point lighthouse,belyea-point-lighthouse,https://www.geocaching.com/geocache/GC354AM_belyea-point-lighthouse,N 45° 22.691,W 066° 12.961,50,2
GC36B29,Welcome to Compton Lake,welcome to compton lake,welcome-to-compton-lake,https://www.geocaching.com/geocache/GC36B29_welcome-to-compton-lake,N 45° 17.990,W 066° 14.113,43,2
GC36B2H,"Golden Cache, Golden View",golden cache golden view,golden-cache-golden-view,https://www.geocaching.com/geocache/GC36B2H_golden-cache-golden-view,N 45° 18.069,W 066° 13.768,47,2
GC36B2P,Mitchell Road,mitchell road,mitchell-road,https://www.geocaching.com/geocache/GC36B2P_mitchell-road,N 45° 18.135,W 066° 13.603,60,3
GC377FD,There is one here and there,there is one here and there,there-is-one-here-and-there,https://www.geocaching.com/geocache/GC377FD_there-is-one-here-and-there,N 45° 54.526,W 066° 38.448,64,3
GC37A3K,Its all uphill from here,its all uphill from here,its-all-uphill-from-here,https://www.geocaching.com/geocache/GC37A3K_its-all-uphill-from-here,N 47° 01.296,W 065° 32.967,104,5
GC386YP,An Odell pine,an odell pine,an-odell-pine,https://www.geocaching.com/geocache/GC386YP_an-odell-pine,N 45° 57.210,W 066° 40.842,113,5
GC38EK8,The New & the Old,the new & the old,the-new-&-the-old,https://www.geocaching.com/geocache/GC38EK8_the-new-&-the-old,N 46° 49.215,W 067° 44.025,133,6
GC38FVB,#6 Hike on Smith Road,6 hike on smith road,6-hike-on-smith-road,https://www.geocaching.com/geocache/GC38FVB_6-hike-on-smith-road,N 45° 51.612,W 066° 44.696,71,3
GC3927F,A new use for the random box,a new use for the random box,a-new-use-for-the-random-box,https://www.geocaching.com/geocache/GC3927F_a-new-use-for-the-random-box,,,1,1
GC392E1,Reely Tough Cache (DUCK cache #3),reely tough cache (duck cache 3),reely-tough-cache-duck-cache-3,https://www.geocaching.com/geocache/GC392E1_reely-tough-cache-duck-cache-3,N 45° 53.261,W 066° 49.947,53,3
GC394KM,Notable Women of NB - #10 Marie Helene Allain,notable women of nb  10 marie helene allain,notable-women-of-nb-10-marie-helene-allain,https://www.geocaching.com/geocache/GC394KM_notable-women-of-nb-10-marie-helene-allain,N 45° 57.415,W 066° 40.151,373,15
GC3B8F1,A NEW Eye on the Situation,a new eye on the situation,a-new-eye-on-the-situation,https://www.geocaching.com/geocache/GC3B8F1_a-new-eye-on-the-situation,N 45° 58.072,W 066° 42.977,65,3
GC3CX1D,"In case of ""Cache-Mergency"" go here #1","in case of ""cachemergency"" go here 1",in-case-of-cachemergency-go-here-1,https://www.geocaching.com/geocache/GC3CX1D_in-case-of-cachemergency-go-here-1,N 45° 21.377,W 066° 07.463,63,3
GC3CX1W,"In case of ""Cache-Mergency"" go here #2","in case of ""cachemergency"" go here 2",in-case-of-cachemergency-go-here-2,https://www.geocaching.com/geocache/GC3CX1W_in-case-of-cachemergency-go-here-2,N 45° 21.821,W 066° 06.212,54,3
GC3E85N,King of the Quack Travel Bug Hotel,king of the quack travel bug hotel,king-of-the-quack-travel-bug-hotel,https://www.geocaching.com/geocache/GC3E85N_king-of-the-quack-travel-bug-hotel,N 45° 53.538,W 066° 55.561,13,1
GC3NRN8,Step Into The Dead Zone!,step into the dead zone,step-into-the-dead-zone,https://www.geocaching.com/geocache/GC3NRN8_step-into-the-dead-zone,N 45° 50.476,W 067° 01.592,39,2
GC3P6KC,Grand Falls Pallets,grand falls pallets,grand-falls-pallets,https://www.geocaching.com/geocache/GC3P6KC_grand-falls-pallets,N 47° 03.529,W 067° 44.860,81,4
GC3P7Q3,Disney Series #5 - Donald,disney series 5  donald,disney-series-5-donald,https://www.geocaching.com/geocache/GC3P7Q3_disney-series-5-donald,N 45° 44.476,W 066° 56.009,74,3
GC3PF4M,Cambridge Community Cache #1,cambridge community cache 1,cambridge-community-cache-1,https://www.geocaching.com/geocache/GC3PF4M_cambridge-community-cache-1,N 45° 49.774,W 065° 56.785,109,5
GC3PF59,A Cambridge Community Cache,a cambridge community cache,a-cambridge-community-cache,https://www.geocaching.com/geocache/GC3PF59_a-cambridge-community-cache,N 45° 49.804,W 065° 56.927,106,5
GC3PMET,Do you Remember When?,do you remember when,do-you-remember-when,https://www.geocaching.com/geocache/GC3PMET_do-you-remember-when,N 45° 30.637,W 066° 20.695,70,3
GC3PMF3,Take a Stroll Down Memory Lane,take a stroll down memory lane,take-a-stroll-down-memory-lane,https://www.geocaching.com/geocache/GC3PMF3_take-a-stroll-down-memory-lane,N 45° 30.705,W 066° 20.834,60,3
