GC,title,lower,nospace,url,lat,lon,numfind,numpage
GC748HC,42- SHORTCUT ROUTE 112,42 shortcut route 112,42-shortcut-route-112,https://www.geocaching.com/geocache/GC748HC_42-shortcut-route-112,N 46° 04.047,W 065° 28.125,49,2
GC748HH,43- SHORTCUT ROUTE 112,43 shortcut route 112,43-shortcut-route-112,https://www.geocaching.com/geocache/GC748HH_43-shortcut-route-112,N 46° 03.992,W 065° 28.278,49,2
GC748HK,44- SHORTCUT ROUTE 112,44 shortcut route 112,44-shortcut-route-112,https://www.geocaching.com/geocache/GC748HK_44-shortcut-route-112,N 46° 03.969,W 065° 28.423,45,2
GC748HZ,45- SHORTCUT ROUTE 112,45 shortcut route 112,45-shortcut-route-112,https://www.geocaching.com/geocache/GC748HZ_45-shortcut-route-112,N 46° 04.041,W 065° 28.841,43,2
GC748J4,46- SHORTCUT ROUTE 112,46 shortcut route 112,46-shortcut-route-112,https://www.geocaching.com/geocache/GC748J4_46-shortcut-route-112,N 46° 04.069,W 065° 29.037,45,2
GC748KD,47- SHORTCUT ROUTE 112,47 shortcut route 112,47-shortcut-route-112,https://www.geocaching.com/geocache/GC748KD_47-shortcut-route-112,N 46° 04.047,W 065° 29.159,45,2
GC748KG,48- SHORTCUT ROUTE 112,48 shortcut route 112,48-shortcut-route-112,https://www.geocaching.com/geocache/GC748KG_48-shortcut-route-112,N 46° 03.981,W 065° 29.411,45,2
GC748KM,49- SHORTCUT ROUTE 112,49 shortcut route 112,49-shortcut-route-112,https://www.geocaching.com/geocache/GC748KM_49-shortcut-route-112,N 46° 03.848,W 065° 29.619,45,2
GC748KP,50- SHORTCUT ROUTE 112,50 shortcut route 112,50-shortcut-route-112,https://www.geocaching.com/geocache/GC748KP_50-shortcut-route-112,N 46° 03.762,W 065° 29.755,45,2
GC748KR,51- SHORTCUT ROUTE 112,51 shortcut route 112,51-shortcut-route-112,https://www.geocaching.com/geocache/GC748KR_51-shortcut-route-112,N 46° 03.669,W 065° 30.157,47,2
GC748KX,52- SHORTCUT ROUTE 112,52 shortcut route 112,52-shortcut-route-112,https://www.geocaching.com/geocache/GC748KX_52-shortcut-route-112,N 46° 03.659,W 065° 30.532,46,2
GC748KZ,53- SHORTCUT ROUTE 112 - Truck Stop,53 shortcut route 112  truck stop,53-shortcut-route-112-truck-stop,https://www.geocaching.com/geocache/GC748KZ_53-shortcut-route-112-truck-stop,N 46° 03.575,W 065° 31.220,48,2
GC748M2,54- SHORTCUT ROUTE 112,54 shortcut route 112,54-shortcut-route-112,https://www.geocaching.com/geocache/GC748M2_54-shortcut-route-112,N 46° 03.493,W 065° 31.401,47,2
GC748M3,55- SHORTCUT ROUTE 112,55 shortcut route 112,55-shortcut-route-112,https://www.geocaching.com/geocache/GC748M3_55-shortcut-route-112,N 46° 03.220,W 065° 32.352,47,2
GC748M9,56- SHORTCUT ROUTE 112 - Blueberries!,56 shortcut route 112  blueberries,56-shortcut-route-112-blueberries,https://www.geocaching.com/geocache/GC748M9_56-shortcut-route-112-blueberries,N 46° 02.926,W 065° 33.533,45,2
GC748MF,57- SHORTCUT ROUTE 112,57 shortcut route 112,57-shortcut-route-112,https://www.geocaching.com/geocache/GC748MF_57-shortcut-route-112,N 46° 02.572,W 065° 34.060,45,2
